lgd_state_id,lgd_district_id,pc11r_hl_dw_loc_inprem_no,pc11r_hl_dw_loc_nearprem_no,pc11r_hl_dw_loc_far_no,pc11u_hl_dw_loc_inprem_no,pc11u_hl_dw_loc_nearprem_no,pc11u_hl_dw_loc_far_no,pc11r_hl_dw_loc_inprem_sh,pc11r_hl_dw_loc_nearprem_sh,pc11r_hl_dw_loc_far_sh,pc11u_hl_dw_loc_inprem_sh,pc11u_hl_dw_loc_nearprem_sh,pc11u_hl_dw_loc_far_sh,pc11r_pca_no_hh,pc11u_pca_no_hh,pc11_pca_no_hh
01,001,4579676.086372375,3374851.90158844,2540871.593070984,2747958.8359375,518122.595703125,333171.1044921875,43.636326,32.156452,24.210075,76.349159,14.395494,9.2568102,104951,35992,140943
01,002,3627697.812088013,2784882.397651672,1247417.301239014,1047956.013671875,273636.8040771484,73233.00175476074,47.357124,36.354744,16.284184,75.143845,19.621168,5.251183,76603,13946,90549
01,003,5809833.116165161,3752239.486610413,2479359.301696777,2200652.859375,400590.5002441406,126537.5014648438,48.249619,31.161674,20.590633,80.642487,14.67956,4.6369419,120412,27289,147701
01,004,1942190.307815552,3399782.004081726,1742133.996055603,591519.484375,50180.2998046875,30200.2001953125,27.41503,47.989697,24.591129,88.036835,7.4684181,4.4947462,70844,6719,77563
01,005,9628692.187614441,3624984.604156494,1843551.097747803,13943618.3828125,1112040.780029297,434710.5978240967,63.650677,23.963037,12.186833,90.012253,7.1787176,2.8062501,151274,154908,306182
01,007,3719682.516700745,3489600.690238953,2878020.096931458,1535313.6796875,202470.802734375,55194.69958496094,36.870155,34.589542,28.527449,85.618652,11.291033,3.0780003,100886,17932,118818
01,008,1852248.905792236,3535700.098503113,4308323.212341309,529559.4140625,349211.7998046875,321234.09765625,19.077059,36.415604,44.373161,44.133629,29.103409,26.77174,97093,11999,109092
01,010,1254416.499755859,3240727.393554688,3787963.795967102,521651.5043945313,96270.705078125,103814.50390625,15.14447,39.125046,45.731785,72.290955,13.341284,14.38671,82830,7216,90046
01,011,4154382.201370239,1787701.99887085,1018675.297119141,932637.71875,90836.30236816406,41926.00207519531,59.682541,25.682421,14.634458,87.538742,8.5260277,3.9352357,69608,10654,80262
01,012,1377429.301567078,4156258.608795166,6589415.696708679,610039.30859375,78819.59765625,86612.80249023438,11.352003,34.253563,54.306282,78.653854,10.162403,11.1672,121338,7756,129094
01,013,111016.2998046875,19579.59985351563,4604.10009765625,17798129.8046875,807335.0502929688,277935.4000244141,82.112648,14.481953,3.4053996,94.252785,4.2753692,1.4718504,1352,188834,190186
01,014,948853.4045181274,3559928.505599976,3314589.907661438,1549118.674194336,261398.796875,224782.5087890625,12.128247,45.503017,42.3671,76.112549,12.843256,11.044195,78235,20353,98588
01,620,854956.992805481,1897759.708404541,1497634.594116211,253926.984375,8672,8401,20.117109,44.654221,35.239288,93.699997,3.2,3.0999999,42499,2710,45209
01,621,1070100.396034241,2140075.287414551,1664678.796417236,155793.20703125,43527.40087890625,16879.400390625,21.950327,43.898079,34.146557,72.059761,20.132933,7.8073082,48751,2162,50913
01,622,1574447.300003052,2153556.599365234,1654136.499282837,735937.501953125,447199.701171875,196857.7978515625,29.252314,40.011829,30.732893,53.30563,32.391693,14.258859,53823,13806,67629
01,623,1273517.592941284,1557043.794906616,1914030.893013,596644.296875,238123.2890625,124809.103515625,26.843109,32.819252,40.3438,62.163399,24.809677,13.003657,47443,9598,57041
01,624,3440612.083816528,1187963.802635193,616257.3003768921,873522.078125,141075.5009765625,51933.60095214844,65.595444,22.64859,11.748976,81.890137,13.225415,4.8686228,52452,10667,63119
01,625,1619347.900024414,1184653.603507996,767391.602432251,242024.40625,12765,255.3000030517578,45.344643,33.172424,21.48834,94.800003,5,.1,35712,2553,38265
01,626,2007931.194030762,925816.1063919067,485753.3990249634,568553.1015625,68167.6005859375,59879.30078125,58.71487,27.072229,14.204146,81.618301,9.7857599,8.5959377,34198,6966,41164
01,627,937244.0974349976,2405807.796646118,1763404.291893005,380151.9008789063,98663.40234375,24436.50012207031,18.352146,47.108044,34.529163,75.57692,19.61499,4.858151,51070,5030,56100
02,015,3751739.807914734,2807481.702415466,911816.5035476685,506266.29296875,53655.099609375,17427.00024414063,50.216026,37.577385,12.204418,87.695526,9.2941446,3.0187078,74712,5773,80485
02,016,2993376.99962616,5418963.187347412,1043364.203300476,645110.41015625,115954.203125,25335.40029907227,31.644136,57.285938,11.029803,82.033371,14.74494,3.2216938,94595,7864,102459
02,017,6367171.491859436,2890611.397521973,552166.2010803223,637939.3984375,79829.40234375,22838.1005859375,64.894989,29.461462,5.6277452,86.161453,10.781929,3.0845625,98115,7404,105519
02,018,18524718.59906006,10367002.60047913,2918895.404018402,1661017.234375,276563.2021484375,113469.3011169434,58.233688,32.589363,9.1757421,80.993622,13.485625,5.5329285,318110,20508,338618
02,019,1207467.002311707,615263.597694397,170740.8997497559,0,0,0,60.445885,30.80014,8.5473013,,,,19976,0,19976
02,020,3675328.694671631,3709187.20879364,1049450.406410217,904747.921875,114430.701171875,25864.89990234375,43.576496,43.977936,12.442798,86.587036,10.951354,2.4753468,84342,10449,94791
02,021,171310.3022766113,394912.9984741211,94768.79902648926,0,0,0,25.66831,59.17186,14.1997,,,,6674,0,6674
02,022,10840049.80021667,8294650.99016571,1239000.698379517,1393821.328125,126476.2026367188,19256.79956054688,53.203484,40.710545,6.0810747,90.51963,8.2138071,1.2506039,203747,15398,219145
02,023,6001560.698905945,5194785.79876709,1785921.898605347,4522390.010742188,694104.8881835938,234439.5122680664,46.227726,40.013447,13.756273,82.967453,12.734,4.3010111,129826,54508,184334
02,024,2848581.590255737,3967329.299201965,1692966.39806366,1180913.8515625,95013.099609375,36100.09912109375,33.478458,46.62674,19.896887,90.001816,7.2413001,2.7513223,85087,13121,98208
02,025,5220066.285919189,3232184.100410461,1198169.500564575,2187010.51171875,316997.505859375,86656.7974395752,54.088345,33.490665,12.414978,84.391685,12.232202,3.3438857,96510,25915,122425
02,026,6416059.703086853,2865679.705734253,767871.5014648438,792184.796875,143687.6025390625,47127.60070800781,63.840118,28.513659,7.6403604,80.588486,14.617253,4.7942624,100502,9830,110332
03,027,19869507.01391602,1237714.401763916,388264.6994628906,25692805.0859375,1411532.197998047,285544.9997558594,92.419319,5.7569985,1.8059411,93.801888,5.1533642,1.0424964,214993,273905,488898
03,028,12863894.30615234,3022721.097747803,1242637.597068787,8567402.734375,845559.314453125,277666.5970458984,75.099213,17.646599,7.254499,83.494812,8.2405157,2.7060385,171292,102610,273902
03,029,5764830.398803711,901405.4054718018,1006776.300231934,4001913.875,248328.6015625,166980.5,75.133331,11.748063,13.121367,90.612793,5.6227465,3.7808332,76728,44165,120893
03,030,7067323.220947266,602800.599609375,207377.9997253418,3621361.46875,253485.603515625,35880.30029296875,89.57431,7.6401553,2.6283984,92.610832,6.4825106,.91758436,78899,39103,118002
03,031,9951331.596031189,1717191.695976257,940506.003868103,5039054.71875,440582.0952148438,134374.7989501953,78.923073,13.618886,7.4590645,89.755524,7.8476381,2.3934808,126089,56142,182231
03,032,22746165.71286011,807614.7997894287,198436.3997650146,6813796.546875,281832.2010498047,51034.00021362305,95.716904,3.3984799,.83502948,95.341858,3.9435291,.71409184,237640,71467,309107
