pc11_state_id,pc11_district_id,pc_hospitals_r,pc_hospitals_u,pc_hosp_beds_u,pc_pmed_pos_r,pc_pmed_pos_u,pc_docs_pos_r,pc_docs_pos_u,pc_docs_hosp_u,pc_docs_hosp_r,pc_clinics_r,pc_clinics_u,pc_clinic_beds_u,pc11_pca_tot_p,pc_clinics,pc_docs,pc_docs_hosp,pc_pmeds,pc_num_hospitals
01,001,8,1,100,684,76,374,42,14,10,195,7,168,870311,202,416,24,760,9
01,002,13,6,316,573,496,299,148,111,14,208,14,480,734110,222,447,125,1069,19
01,003,0,1,150,369,133,68,56,31,0,118,4,260,133487,122,124,31,502,1
01,004,6,1,22,393,83,67,41,17,6,154,6,197,140802,160,108,23,476,7
01,005,6,2,270,246,101,85,47,36,6,101,55,311,476752,156,132,42,347,8
01,006,3,3,380,551,233,201,81,52,4,226,53,570,642302,279,282,56,784,6
01,007,5,5,205,678,285,265,66,57,15,216,12,234,615999,228,331,72,963,10
01,008,6,6,341,581,429,352,152,86,8,202,34,605,1007916,236,504,94,1010,12
01,009,2,0,0,276,122,124,31,0,3,80,7,82,392232,87,155,3,398,2
01,010,0,3,204,29,69,15,43,35,0,9,9,241,49962,18,58,35,98,3
01,011,3,1,30,384,71,183,30,13,5,108,7,72,297438,115,213,18,455,4
01,012,8,4,116,514,208,251,87,67,12,148,7,176,560399,155,338,79,722,12
01,013,4,1,40,273,41,150,17,3,6,71,1,67,266175,72,167,9,314,5
01,014,5,8,284,613,445,321,96,50,12,176,30,469,928430,206,417,62,1058,13
01,015,2,4,18,293,147,126,34,11,5,70,12,109,424089,82,160,16,440,6
01,016,2,3,140,352,388,187,71,40,2,170,13,281,409784,183,258,42,740,5
01,017,1,3,80,91,96,51,52,29,1,62,6,157,283713,68,103,30,187,4
01,018,1,1,100,242,52,73,25,19,4,77,2,126,230696,79,98,23,294,2
01,019,1,3,145,353,212,170,87,59,2,186,12,210,554808,198,257,61,565,4
01,020,1,1,16,265,81,127,33,2,2,129,3,89,314528,132,160,4,346,2
01,021,6,11,1251,829,976,364,362,243,20,271,31730,1954,1529413,32001,726,263,1805,17
01,022,4,5,86,284,137,111,70,51,5,104,45,182,318444,149,181,56,421,9
02,023,12,5,374,231,253,274,60,40,7,343,11,476,517779,354,334,47,484,17
02,024,19,9,705,1509,502,1121,145,76,59,1069,196,970,1503754,1265,1266,135,2011,28
02,025,2,0,0,146,0,95,0,0,9,57,0,0,28654,57,95,9,146,2
02,026,11,3,280,150,285,135,75,41,9,218,31,378,437499,249,210,50,435,14
02,027,12,6,727,650,382,562,99,65,16,617,23,899,992554,640,661,81,1032,18
02,028,1,3,340,312,140,215,59,27,1,279,26,419,449994,305,274,28,452,4
02,029,4,2,166,494,85,346,31,12,10,362,28,239,519592,390,377,22,579,6
02,030,1,2,275,198,307,183,51,28,3,203,17,355,380550,220,234,31,505,3
02,031,9,8,433,346,312,310,107,76,23,296,34,527,565582,330,417,99,658,17
02,032,10,3,418,171,158,195,85,58,7,263,16,478,528407,279,280,65,329,13
02,033,5,14,2193,431,696,453,399,206,9,448,69,2444,803404,517,852,215,1127,19
02,034,5,0,0,110,0,97,0,0,5,97,0,0,83257,97,97,5,110,5
03,035,21,19,588,831,894,668,228,95,27,591,802,1382,2297611,1393,896,122,1725,40
03,036,30,12,366,505,342,475,111,37,30,402,1210,776,813754,1612,586,67,847,42
03,037,23,30,952,945,667,660,265,130,51,552,842,1368,2192137,1394,925,181,1612,53
03,038,81,9,553,1320,347,1309,159,91,81,1647,9050,941,1585942,10697,1468,172,1667,90
03,039,13,3,124,432,106,322,38,28,17,288,61,133,611974,349,360,45,538,16
03,040,0,9,380,79,234,57,137,100,0,98,312,722,600017,410,194,100,313,9
03,041,25,10,489,842,647,755,166,96,26,574,3266,672,3498403,3840,921,122,1489,35
03,042,17,6,230,462,174,337,49,33,17,318,81,268,995544,399,386,50,636,23
03,043,25,16,386,825,397,753,102,74,34,731,536,424,2028656,1267,855,108,1222,41
03,044,13,4,185,411,140,313,35,29,19,216,42,213,901787,258,348,48,551,17
03,045,9,4,680,255,202,175,231,210,9,302,76,728,617499,378,406,219,457,13
03,046,7,8,299,650,482,459,123,58,7,331,461,639,1388498,792,582,65,1132,15
03,047,4,2,150,397,248,264,39,24,4,204,54,220,769750,258,303,28,645,6
03,048,15,18,1287,442,1703,428,130,53,15,446,273,1682,1895446,719,558,68,2145,33
03,049,19,49,1839,544,1154,448,199,101,22,427,948,2537,2486948,1375,647,123,1698,68
03,050,63,4,161,532,119,476,38,19,43,641,131,209,1119497,772,514,62,651,67
03,051,4,6,355,351,308,244,101,60,5,169,253,487,684126,422,345,65,659,10
03,052,0,5,210,422,267,278,106,55,0,178,247,254,994513,425,384,55,689,5
03,053,7,18,483,503,391,455,105,67,7,331,27200,657,1654925,27531,560,74,894,25
03,054,8,4,168,276,205,144,47,25,8,121,33,202,595520,154,191,33,481,12
04,055,0,6,2894,24,3349,13,747,611,0,13,109,2894,1055450,122,760,611,3373,6
05,056,21,3,128,392,115,125,21,13,25,162,15,148,329229,177,146,38,507,24
05,057,20,7,168,417,179,137,53,28,23,151,27,242,387132,178,190,51,596,27
05,058,21,2,76,390,61,180,15,10,26,158,6,104,240730,164,195,36,451,23
05,059,30,6,131,796,167,216,39,24,30,286,26,190,613911,312,255,54,963,36
05,060,44,21,1149,1166,1919,329,398,156,46,352,258,2636,1695819,610,727,202,3085,65
05,061,101,6,334,2348,259,541,64,38,106,1547,24,429,668230,1571,605,144,2607,107
05,062,39,13,224,501,183,141,28,10,47,225,27,400,475509,252,169,57,684,52
05,063,15,1,60,229,46,116,17,11,18,169,7,64,256541,176,133,29,275,16
05,064,40,6,460,773,241,199,42,31,42,217,27,467,615610,244,241,73,1014,46
05,065,9,4,100,256,77,85,35,14,9,108,25,153,257697,133,120,23,333,13
05,066,31,10,977,588,680,362,311,267,56,880,123,1107,951892,1003,673,323,1268,41
05,067,8,11,404,433,389,103,134,92,13,1438,135,510,1648323,1573,237,105,822,19
05,068,0,21,758,529,835,168,191,114,0,1875,219,1035,1889962,2094,359,114,1364,21
06,069,0,5,225,119,334,41,96,87,0,71,61,225,561268,132,137,87,453,5
06,070,0,7,384,305,299,80,92,68,0,241,242,422,1128172,483,172,68,604,7
06,071,0,8,218,258,187,82,101,85,0,267,114,218,1213951,381,183,85,445,8
06,072,0,5,196,362,320,117,106,50,0,170,60,296,964601,230,223,50,682,5
06,073,0,4,165,478,194,101,32,27,0,198,56,165,1074268,254,133,27,672,4
06,074,0,7,348,387,465,91,71,61,0,244,158,370,1505074,402,162,61,852,7
06,075,0,4,213,300,152,88,52,34,0,209,119,214,1205416,328,140,34,452,4
06,076,1,4,184,811,297,340,72,60,225,286,118,186,1449943,404,412,285,1108,5
06,077,0,5,330,652,318,235,57,47,0,215,55,354,1334132,270,292,47,970,5
06,078,0,4,240,269,146,68,71,62,0,163,77,250,941925,240,139,62,415,4
06,079,1,5,232,534,218,155,45,32,5,278,113,242,1295138,391,200,37,752,6
06,080,0,6,394,752,386,168,102,69,0,329,199,471,1743931,528,270,69,1138,6
06,081,0,6,585,852,475,195,89,72,0,311,119,610,1634377,430,284,72,1327,6
06,082,0,5,1891,522,886,98,421,409,0,171,139,1891,1061204,310,519,409,1408,5
06,083,0,3,145,508,185,163,60,49,0,244,61,145,958340,305,223,49,693,3
06,084,0,5,208,335,157,105,41,29,0,171,62,239,922035,233,146,29,492,5
06,085,0,3,140,378,161,88,45,34,0,176,99,151,900246,275,133,34,539,3
06,086,0,8,430,210,254,60,104,84,0,109,144,435,1514397,253,164,84,464,8
06,087,1,6,100,169,78,81,29,21,41,116,33,102,1089177,149,110,62,247,7
06,088,0,3,500,93,361,41,178,112,0,121,260,540,1809643,381,219,112,454,3
06,089,0,4,114,204,131,53,22,17,0,144,44,114,1042660,188,75,17,335,4
07,090,0,7,413.6363639831543,98,979,47,354.5151538848877,208.9393939971924,0,36,294,761.8181762695313,1567693,330,401.51517,208.93939,1077,7
07,091,0,0,0,0,51,0,7.25,0,0,0,16,54,287035,16,7.25,0,51,0
07,092,0,0,0,5,307,4,79,0,0,3,54,269.2000026702881,1060017,57,83,0,312,0
07,093,0,6,340,1,584,1,250,76,0,1,54,873,423082,55,251,76,585,6
07,096,0,0,0,11,204,7,32.72727203369141,0,0,2,26,201.8181762695313,663980,28,39.727272,0,215,0
07,097,1,2,150,91,232,73,141,94,1,34,46,202,525376,80,214,95,323,3
