pc11_state_id,pc11_district_id,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_ag_main_share,pc11u_ag_main_share,pc11_ag_main_share,pc11r_pca_main_al_p,pc11r_pca_marg_al_p,pc11u_pca_main_al_p,pc11_pca_main_al_p,pc11r_pdensity,pc11u_pdensity,pc11_pdensity,pc11r_hl_dw_loc_inprem_no,pc11r_hl_dw_loc_nearprem_no,pc11r_hl_dw_loc_far_no,pc11u_hl_dw_loc_inprem_no,pc11u_hl_dw_loc_nearprem_no,pc11u_hl_dw_loc_far_no,pc11_tot_all_hosp,pc11_tot_all_hosp_doc_tot,pc11_tot_all_hosp_pmed_tot,pc11_tot_disp,pc11_tot_ch_cntr,pc11_tot_ph_cntr,pc11_tot_phs_cntr,pc11_tot_mcw_cntr,pc11_tot_tb_cln,pc11_tot_mh_cln,pc11_tot_fwc_cntr,pc11_tot_nh,pc11_tot_mh,pc11r_hl_dw_loc_inprem_sh,pc11r_hl_dw_loc_nearprem_sh,pc11r_hl_dw_loc_far_sh,pc11u_hl_dw_loc_inprem_sh,pc11u_hl_dw_loc_nearprem_sh,pc11u_hl_dw_loc_far_sh,pc11r_pca_tot_m,pc11r_pca_tot_f,pc11r_pca_p_06,pc11r_pca_m_06,pc11r_pca_f_06,pc11r_pca_p_sc,pc11r_pca_m_sc,pc11r_pca_f_sc,pc11r_pca_p_st,pc11r_pca_m_st,pc11r_pca_f_st,pc11r_pca_p_lit,pc11r_pca_m_lit,pc11r_pca_f_lit,pc11r_pca_p_ill,pc11r_pca_m_ill,pc11r_pca_f_ill,pc11r_pca_tot_work_p,pc11r_pca_tot_work_m,pc11r_pca_tot_work_f,pc11r_pca_mainwork_m,pc11r_pca_mainwork_f,pc11r_pca_main_cl_p,pc11r_pca_main_cl_m,pc11r_pca_main_cl_f,pc11r_pca_main_al_m,pc11r_pca_main_al_f,pc11r_pca_main_hh_p,pc11r_pca_main_hh_m,pc11r_pca_main_hh_f,pc11r_pca_main_ot_p,pc11r_pca_main_ot_m,pc11r_pca_main_ot_f,pc11r_pca_margwork_p,pc11r_pca_margwork_m,pc11r_pca_margwork_f,pc11r_pca_marg_cl_p,pc11r_pca_marg_cl_m,pc11r_pca_marg_cl_f,pc11r_pca_marg_al_m,pc11r_pca_marg_al_f,pc11r_pca_marg_hh_p,pc11r_pca_marg_hh_m,pc11r_pca_marg_hh_f,pc11r_pca_marg_ot_p,pc11r_pca_marg_ot_m,pc11r_pca_marg_ot_f,pc11r_pca_margwork36_p,pc11r_pca_margwork36_m,pc11r_pca_margwork36_f,pc11r_pca_marg_cl36_p,pc11r_pca_marg_cl36_m,pc11r_pca_marg_cl36_f,pc11r_pca_marg_al36_p,pc11r_pca_marg_al36_m,pc11r_pca_marg_al36_f,pc11r_pca_marg_hh36_p,pc11r_pca_marg_hh36_m,pc11r_pca_marg_hh36_f,pc11r_pca_marg_ot36_p,pc11r_pca_marg_ot36_m,pc11r_pca_marg_ot36_f,pc11r_pca_margwork03_p,pc11r_pca_margwork03_m,pc11r_pca_margwork03_f,pc11r_pca_marg_cl03_p,pc11r_pca_marg_cl03_m,pc11r_pca_marg_cl03_f,pc11r_pca_marg_al03_p,pc11r_pca_marg_al03_m,pc11r_pca_marg_al03_f,pc11r_pca_marg_hh03_p,pc11r_pca_marg_hh03_m,pc11r_pca_marg_hh03_f,pc11r_pca_marg_ot03_p,pc11r_pca_marg_ot03_m,pc11r_pca_marg_ot03_f,pc11r_pca_non_work_p,pc11r_pca_non_work_m,pc11r_pca_non_work_f,pc11r_pca_sex_2011,pc11u_pca_main_cl_p,pc11_slum_tot_p,pc11_pca_main_cl_p,pc11_urb_share,pc11r_pca_no_hh,pc11u_pca_no_hh,pc11_pca_no_hh,pc11_vd_area,pc11_td_area,pc11_area,pc11r_pca_mainwork_p,pc11u_pca_mainwork_p,pc11_pca_mainwork_p
32,595,1048025,2234363,3282388,.067065015,.019044874,.086109884,36217,16012,13202,49419,549.14984,2414.8489,1158.3359,20301988.00390625,3852661.684570313,1832413.981811523,45129345.171875,8239220.609375,2054342.090209961,24,212,498,271,16,39,74,45,6,2,39,0,7,78.110107,14.822776,7.0500507,81.4468,14.869662,3.7075562,518510,529515,93614,47778,45836,102403,50258,52145,8324,4225,4099,908408,455970,452438,139617,62540,77077,417997,297463,120534,256499,82151,34965,30099,4866,24505,11712,5707,4163,1544,261761,197732,64029,79347,40964,38383,6588,4141,2447,8282,7730,2318,983,1335,54429,27558,26871,64408,35237,29171,5420,3473,1947,12789,6816,5973,1743,805,938,44456,24143,20313,14939,5727,9212,1168,668,500,3223,1466,1757,575,178,397,9973,3415,6558,630028,221047,408981,62446,7012,18488,41977,.68071264,259915,554096,814011,1908.449997901917,925.2600000000001,2833.71,338650,722738,1061388
32,596,1056929,52045,1108974,.47259387,.0037023947,.47629625,111410,33080,981,112391,228.68639,1468.9529,238.12184,10553544.73828125,8638835.580688477,7526311.973144531,1054954.75,129821.203125,75624,3,31,74,122,13,42,93,52,4,4,42,0,1,39.495617,32.330002,28.166492,83.699997,10.3,6,527245,529684,100459,51160,49299,143340,71354,71986,55243,27735,27508,878211,449642,428569,178718,77603,101115,498624,318263,180361,275197,124814,85164,69165,15999,65075,46335,4684,3319,1365,198753,137638,61115,98613,43066,55547,15133,7087,8046,14064,19016,1914,720,1194,48486,21195,27291,78756,35812,42944,10964,5355,5609,27480,12168,15312,1485,568,917,38827,17721,21106,19857,7254,12603,4169,1732,2437,5600,1896,3704,429,152,277,9659,3474,6185,558305,208982,349323,64303,559,0,85723,.046930768,267208,12604,279812,4621.740022599697,35.43,4657.1704,400011,15936,415947
32,597,1409158,565393,1974551,.12977357,.014801018,.14457458,38839,15762,5944,44783,733.27954,2065.6643,899.39148,24214433.16723633,5570610.706054688,4904250.106567383,11342274.96875,1713797.39453125,984156,6,115,256,192,18,54,94,63,9,4,54,0,0,69.802544,16.058308,14.137401,80.787163,12.206795,7.0098081,692673,716485,125143,63745,61398,119360,58557,60803,19698,9850,9848,1246775,615451,631324,162383,77222,85161,539176,385395,153781,333204,101387,39616,35922,3694,30513,8326,9545,6610,2935,346591,260159,86432,104585,52191,52394,6735,4636,2099,8981,6781,4397,1779,2618,77691,36795,40896,83118,44239,38879,5549,3930,1619,12405,7520,4885,3350,1439,1911,61814,31350,30464,21467,7952,13515,1186,706,480,3357,1461,1896,1047,340,707,15877,5445,10432,869982,307278,562704,82548,3004,0,42620,.28634003,346899,140397,487296,1921.719988226891,273.71,2195.4299,434591,169962,604553
32,598,979643,1148146,2127789,.074726649,.0213452,.096071847,29796,24186,9695,39491,1214.8199,2087.1208,1568.5645,17414147.90429688,4445552.302368164,3000286.880279541,21602392.171875,4100866.607421875,3037004.881591797,13,304,664,207,16,30,68,41,5,3,30,0,1,70.044357,17.881199,12.067956,75.180069,14.271728,10.569304,464713,514930,89414,45728,43686,111931,53941,57990,2961,1440,1521,852470,407413,445057,127173,57300,69873,371442,244185,127257,191272,72522,14770,12838,1932,19988,9808,10129,5503,4626,209099,152943,56156,107648,52913,54735,5861,4259,1602,12007,12179,5114,1802,3312,72487,34845,37642,85725,44603,41122,4723,3504,1219,19275,10053,9222,4064,1442,2622,57663,29604,28059,21923,8310,13613,1138,755,383,4911,1954,2957,1050,360,690,14824,5241,9583,608201,220528,387673,56564,3035,10104,17805,.53959578,248616,287342,535958,806.4099989533424,550.11,1356.52,263794,332593,596387
32,599,1065799,131613,1197412,.21876034,.0090466719,.22780702,33523,19468,1693,35216,402.26419,1620.6501,438.49841,22706742.09375,3494415.197265625,2561291.293945313,3019333.3125,297860.296875,190158.2001953125,9,105,308,114,13,45,86,48,5,2,45,0,1,78.948395,12.149628,8.9052773,86.096931,8.4935493,5.4224014,499820,565979,86181,43601,42580,151844,72784,79060,7663,3732,3931,945351,444022,501329,120448,55798,64650,351835,252352,99483,198953,61003,30630,27771,2859,28410,5113,6873,5262,1611,188930,137510,51420,91879,53399,38480,9481,7521,1960,13713,5755,3264,1645,1619,59666,30520,29146,73849,44548,29301,7584,6069,1515,15511,11250,4261,2559,1305,1254,48195,25924,22271,18030,8851,9179,1897,1452,445,3957,2463,1494,705,340,365,11471,4596,6875,713964,247468,466496,72436,960,0,31590,.10991455,287615,35069,322684,2649.499983549118,81.21000000000001,2730.71,259956,33301,293257
32,600,1448217,1187158,2635375,.11842243,.022678014,.14110045,45472,28418,11168,56640,700.11554,2852.0313,1060.6027,32035654.79064941,3591649.491027832,2036441.599319458,25340941.53125,2915050.373046875,1013004.205566406,11,102,546,194,13,42,91,52,8,2,42,0,0,85.047623,9.5350409,5.4063053,86.577682,9.9593105,3.4609432,680687,767530,137559,69705,67854,208474,99761,108713,7886,3821,4065,1233362,587387,645975,214855,93300,121555,512817,354505,158312,269660,104140,36867,33350,3517,38219,7253,7599,5490,2109,283862,192601,91261,139017,84845,54172,13046,10348,2698,21491,6927,4873,2809,2064,92680,50197,42483,111585,70089,41496,10178,8104,2074,22756,17728,5028,3743,2227,1516,74908,42030,32878,27432,14756,12676,2868,2244,624,5662,3763,1899,1130,582,548,17772,8167,9605,935400,326182,609218,77730,4600,24299,41467,.45047024,376679,292696,669375,2068.539987564087,416.25,2484.79,373800,321499,695299
32,601,1529831,1771596,3301427,.067656808,.021936823,.089593634,40338,27788,15447,55785,951.12128,3067.9111,1510.3217,32122822.765625,4560059.279296875,2413618.307617188,38495489.53125,3849696.349609375,2363120.987304688,18,336,757,184,18,41,86,53,7,6,41,0,1,82.16333,11.663659,6.173521,86.136238,8.6139536,5.2876415,724864,804967,147990,75300,72690,179917,85280,94637,20022,9359,10663,1267422,610856,656566,262409,114008,148401,583332,401155,182177,307552,94874,21993,18734,3259,33080,7258,9727,6722,3005,330368,249016,81352,180906,93603,87303,9112,5943,3169,17759,10029,5185,2447,2738,138821,67454,71367,134593,75729,58864,6901,4569,2332,21198,14381,6817,4013,2039,1974,102481,54740,47741,46313,17874,28439,2211,1374,837,6590,3378,3212,1172,408,764,36340,12714,23626,946499,323709,622790,76017,4763,15914,26756,.53661525,390963,446914,837877,1608.449996471405,577.46,2185.9099,402426,518856,921282
33,602,1291214,2428395,3719609,.17061763,.01682521,.18744284,160022,90947,13071,173093,467.99777,4788.1284,1138.8229,7405043.702095032,24260976.82235718,1247203.698221207,26871428.79882813,29464161.7109375,5150355.404708862,13,224,707,95,10,61,327,83,61,0,61,0,4,22.472349,73.625648,3.7849333,43.675484,47.889584,8.3711319,646185,645029,140955,72399,68556,448531,223608,224923,34870,17437,17433,853357,472801,380556,437857,173384,264473,604105,386500,217605,302505,134780,52464,38045,14419,89093,70929,15791,9159,6632,209008,166208,42800,166820,83995,82825,10683,6080,4603,42732,48215,7879,2899,4980,57311,32284,25027,138612,71387,67225,8688,5000,3688,77229,37250,39979,5733,2271,3462,46962,26866,20096,28208,12608,15600,1995,1080,915,13718,5482,8236,2146,628,1518,10349,5418,4931,687109,259685,427424,582559,7883,401334,60347,.65286297,329518,615252,944770,2759.01749047637,507.17,3266.1875,437285,808108,1245393
33,603,0,4646732,4646732,0,.012633725,.012633725,0,0,10251,10251,,26552.754,26552.754,0,0,0,88125128,25640600,1732473,69,845,2430,98,0,0,0,0,0,0,0,0,3,,,,76.300003,22.199999,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10210,1342337,10210,1,0,1154982,1154982,0,175,175,0,1619554,1619554
33,604,1425128,2538336,3963464,.15537208,.019223059,.17459513,144368,100289,17967,162335,384.75574,3997.6125,913.46283,8877884.890434265,24861564.12632751,1640897.902687073,34604850.6015625,24542483.51171875,4424310.011871338,16,307,769,92,7,46,337,67,46,0,46,0,7,25.085218,70.248466,4.6364965,53.660915,38.057442,6.860672,717218,707910,155265,79128,76137,543158,271799,271359,26875,13401,13474,962435,532907,429528,462693,184311,278382,665851,425846,240005,334179,146107,66434,48795,17639,80724,63644,14402,8580,5822,255082,196080,59002,185565,91667,93898,12332,7447,4885,44616,55673,7521,2729,4792,65423,36875,28548,156199,78729,77470,10739,6529,4210,86037,39277,46760,5564,2104,3460,53859,30819,23040,29366,12938,16428,1593,918,675,14252,5339,8913,1957,625,1332,11564,6056,5508,759277,291372,467905,948960,8114,442610,74548,.64043373,353909,644880,998789,3703.981073379517,634.963,4338.9438,480286,876470,1356756
