pc11_state_id,pc11_district_id,sector_present,pc11_pca_tot_u,pc11_pca_tot_r,pc11_pca_tot_t,age_0_r_share,age_5_r_share,age_10_r_share,age_15_r_share,age_20_r_share,age_25_r_share,age_30_r_share,age_35_r_share,age_40_r_share,age_45_r_share,age_50_r_share,age_55_r_share,age_60_r_share,age_65_r_share,age_70_r_share,age_75_r_share,age_80_r_share,age_0_u_share,age_5_u_share,age_10_u_share,age_15_u_share,age_20_u_share,age_25_u_share,age_30_u_share,age_35_u_share,age_40_u_share,age_45_u_share,age_50_u_share,age_55_u_share,age_60_u_share,age_65_u_share,age_70_u_share,age_75_u_share,age_80_u_share,age_0_r,age_0_u,age_0_t,age_0_t_share,age_5_r,age_5_u,age_5_t,age_5_t_share,age_10_r,age_10_u,age_10_t,age_10_t_share,age_15_r,age_15_u,age_15_t,age_15_t_share,age_20_r,age_20_u,age_20_t,age_20_t_share,age_25_r,age_25_u,age_25_t,age_25_t_share,age_30_r,age_30_u,age_30_t,age_30_t_share,age_35_r,age_35_u,age_35_t,age_35_t_share,age_40_r,age_40_u,age_40_t,age_40_t_share,age_45_r,age_45_u,age_45_t,age_45_t_share,age_50_r,age_50_u,age_50_t,age_50_t_share,age_55_r,age_55_u,age_55_t,age_55_t_share,age_60_r,age_60_u,age_60_t,age_60_t_share,age_65_r,age_65_u,age_65_t,age_65_t_share,age_70_r,age_70_u,age_70_t,age_70_t_share,age_75_r,age_75_u,age_75_t,age_75_t_share,age_80_r,age_80_u,age_80_t,age_80_t_share
24,490,3 urban and rural,409137,920535,1329672,.050720587,.074062794,.083826341,.088272281,.091873653,.084576018,.08194641,.079479456,.080298997,.068326041,.061465282,.045267433,.041106146,.026917519,.021292325,.010488198,.010080514,.04608364,.069117963,.075494744,.08162424,.099668048,.097697318,.089904308,.077907577,.077413023,.066592731,.061302479,.047911998,.040733442,.025319776,.020239335,.011726975,.011262392,46690,18855,65545,.04929411,68177,28279,96456,.0725412,77165,30888,108053,.081262901,81258,33395,114653,.08622653,84573,40778,125351,.094272122,77855,39972,117827,.088613585,75435,36783,112218,.084395252,73164,31875,105039,.078996174,73918,31673,105591,.079411313,62897,27246,90143,.067793414,56581,25081,81662,.061415147,41670,19603,61273,.04608129,37840,16666,54506,.040992063,24779,10359,35138,.026426066,19600,8281,27881,.020968329,9655,4798,14453,.010869598,9279,4608,13887,.010443929
24,491,3 urban and rural,635501,1070177,1705678,.069147609,.09813077,.1015865,.090013415,.091544963,.085814811,.081879102,.078957632,.073558219,.060291622,.050077934,.036780804,.032859512,.02066143,.01525608,.0069801444,.0064594531,.048417818,.084599048,.091071375,.088298947,.10313843,.10410579,.10330797,.091191046,.082594514,.060155775,.048328064,.032501273,.025899295,.014949189,.010700786,.0053952709,.0053454069,74000,30770,104770,.061424255,105017,53763,158780,.093089081,108716,57876,166592,.09766908,96330,56114,152444,.08937443,97969,65545,163514,.095864519,91837,66159,157996,.09262944,87625,65652,153277,.089862801,84499,57952,142451,.083515763,78720,52489,131209,.076924838,64523,38229,102752,.060241148,53592,30713,84305,.049426094,39362,20655,60017,.035186596,35165,16459,51624,.03026597,22111,9500,31611,.018532807,16327,6800,23127,.013558831,7470,3429,10899,.0063898345,6913,3397,10310,.0060445173
24,492,3 urban and rural,4849213,1232109,6081322,.051694274,.083624974,.093719013,.090566047,.10098899,.09237422,.090586297,.07894332,.078974105,.060986299,.053627212,.036597773,.033729967,.021222593,.016855262,.0077301213,.0077795386,.06201924,.087350875,.087355703,.08879187,.12218966,.11797556,.10733806,.081774652,.072519623,.052398108,.041746859,.026916625,.021371698,.012321978,.0087861484,.0044234763,.0047198674,63693,300745,364438,.05992743,103035,423583,526618,.086595975,115472,423606,539078,.08864487,111587,430571,542158,.089151338,124429,592524,716953,.11789427,113815,572089,685904,.11278863,111612,520505,632117,.10394401,97267,396543,493810,.081201091,97305,351663,448968,.073827371,75142,254090,329232,.054138228,66075,202439,268514,.044153888,45092,130524,175616,.028877931,41559,103636,145195,.023875564,26149,59752,85901,.014125383,20768,42606,63374,.010421089,9524,21450,30974,.0050933002,9585,22888,32473,.0053397929
24,493,3 urban and rural,79487,727535,807022,.052007098,.081024654,.09513887,.092424653,.093310572,.085073806,.081751943,.075567983,.079803996,.068222515,.060216974,.041423116,.036922269,.025389187,.018026242,.0071760816,.0065200441,.042339068,.071555242,.08711651,.092569605,.095628656,.092658274,.089776553,.078427024,.080599397,.066235147,.057856005,.042871077,.03990069,.02518177,.019329669,.0090441564,.0089111542,37837,3365,41202,.05105437,58948,5688,64636,.080091991,69217,6925,76142,.094349347,67242,7358,74600,.092438623,67887,7601,75488,.093538962,61894,7365,69259,.085820459,59477,7136,66613,.082541741,54978,6234,61212,.075849235,58060,6407,64467,.079882577,49634,5265,54899,.068026647,43810,4599,48409,.059984732,30137,3408,33545,.041566402,26862,3172,30034,.037215836,18472,2002,20474,.025369816,13115,1536,14651,.018154399,5221,719,5940,.0073603941,4744,708,5452,.0067557017
25,494,3 urban and rural,23991,28083,52074,.079291455,.11834084,.12377419,.11856171,.10451453,.086270869,.076022618,.068248078,.056762964,.046117149,.034543689,.026239067,.022749359,.015990812,.011529287,.0059192507,.0051241275,.04600887,.076940134,.090410203,.092405766,.09656319,.084811531,.086585365,.083203994,.080099776,.062028825,.053769402,.038525499,.036640797,.025831485,.020953437,.013525499,.011696231,2227,1104,3331,.063966662,3323,1846,5169,.099262588,3476,2169,5645,.10840343,3330,2217,5547,.10652149,2935,2317,5252,.10085648,2423,2035,4458,.085608944,2135,2077,4212,.080884896,1917,1996,3913,.075143069,1594,1922,3516,.0675193,1295,1488,2783,.053443179,970,1290,2260,.043399777,737,924,1661,.031896915,639,879,1518,.029150823,449,620,1069,.020528479,324,503,827,.015881246,166,324,490,.0094096866,144,281,425,.0081614628
25,495,3 urban and rural,158860,32313,191173,.064569391,.071670599,.05942484,.095102653,.21825697,.15154003,.11645398,.075345278,.051970489,.031039122,.021236792,.014326483,.011453551,.0073302728,.0051063751,.002653406,.0025197812,.039204989,.07622759,.085502729,.086593919,.088347621,.091465317,.10261106,.1032346,.093102105,.061496492,.044855807,.03429462,.032268122,.022759158,.016991427,.010366329,.010678099,2086,6228,8314,.043489404,2316,12110,14426,.075460449,1920,13583,15503,.081094086,3073,13756,16829,.088030212,7053,14035,21088,.11030846,4897,14530,19427,.10162,3763,16301,20064,.10495206,2435,16400,18835,.098523326,1679,14790,16469,.0861471,1003,9769,10772,.056346867,686,7126,7812,.04086351,463,5448,5911,.030919638,370,5126,5496,.028748829,237,3616,3853,.020154519,165,2699,2864,.014981195,86,1647,1733,.0090650879,81,1696,1777,.0092952456
27,497,3 urban and rural,275474,1372821,1648295,.095015682,.11555164,.11712375,.10721327,.097492769,.082498111,.068931997,.065809213,.057791535,.048936024,.03788485,.030489303,.025757268,.023422321,.014605381,.006631277,.0048456034,.061762482,.091379412,.10344126,.10317968,.11352671,.089780852,.084462009,.073737137,.073853396,.053420916,.043306399,.031913038,.026100099,.020665001,.015927454,.0070336568,.0065104924,130440,17014,147454,.089458503,158632,25173,183805,.1115122,160790,28495,189285,.11483685,147185,28423,175608,.10653918,133840,31274,165114,.1001726,113255,24732,137987,.083714992,94631,23267,117898,.071527243,90344,20313,110657,.067134224,79337,20345,99682,.060475826,67180,14716,81896,.049685281,52009,11930,63939,.038790993,41856,8791,50647,.030726902,35360,7190,42550,.025814554,32155,5693,37848,.022961909,20051,4388,24439,.014826836,9104,1938,11042,.0066990433,6652,1793,8445,.005123476
27,498,3 urban and rural,571036,1479826,2050862,.083506197,.10511827,.10669531,.096512571,.092999227,.085842319,.074603416,.070219755,.06094005,.051713351,.042515446,.034295179,.030829605,.028517041,.019745788,.0092764301,.0066700522,.058646195,.089863099,.098046228,.096992739,.10573424,.091596,.083536647,.072253563,.072237059,.05570852,.047756448,.035749946,.031313177,.024794184,.018225677,.00911834,.0084279319,123575,33489,157064,.076584384,155557,51315,206872,.10087076,157890,55988,213878,.10428688,142822,55386,198208,.09664619,137623,60378,198001,.096545257,127032,52305,179337,.087444693,110400,47702,158102,.077090509,103913,41259,145172,.070785843,90181,41250,131431,.064085737,76527,31812,108339,.05282608,62915,27271,90186,.043974679,50751,20415,71166,.034700532,45622,17881,63503,.030964052,42200,14158,56358,.027480152,29220,10408,39628,.019322608,13728,5207,18935,.0092327027,9871,4813,14684,.0071599162
27,499,3 urban and rural,1342711,2887206,4229917,.077211797,.093938977,.10100888,.097266175,.097823605,.0877086,.075080007,.070595369,.062579505,.052695487,.043393381,.034622803,.031504598,.03279971,.022787957,.010774985,.008208178,.055665031,.085738987,.09304595,.091320336,.10415546,.091383427,.085220687,.074163139,.073912024,.058249123,.050430045,.037790369,.033401493,.026666023,.020053018,.0098576583,.0089472262,222926,74742,297668,.070372067,271221,115123,386344,.091336071,291633,124934,416567,.098481126,280827,122617,403444,.095378704,282437,139851,422288,.099833637,253233,122702,375935,.088875264,216771,114427,331198,.078298934,203823,99580,303403,.071727887,180680,99242,279922,.066176713,152143,78212,230355,.054458514,125286,67713,192999,.045627136,99963,50742,150705,.03562836,90960,44849,135809,.032106776,94700,35805,130505,.030852851,65794,26925,92719,.021919815,31110,13236,44346,.010483894,23699,12014,35713,.0084429551
27,500,3 urban and rural,548860,2037398,2586258,.07185182,.090888947,.10029338,.097751632,.10336225,.088227138,.077628858,.065200903,.06415236,.050591875,.044707146,.033730149,.034159355,.031718075,.024630742,.011003274,.010102092,.060565177,.088290244,.097277962,.097651646,.10541884,.089353047,.080794819,.071712472,.071232028,.05635279,.046569187,.035504393,.031976279,.027234918,.020562071,.010283463,.0092206597,146391,33242,179633,.069456719,185177,48459,233636,.09033747,204338,53392,257730,.099653631,199159,53597,252756,.097730391,210590,57860,268450,.10379861,179754,49042,228796,.088466041,158161,44345,202506,.078300774,132840,39360,172200,.066582687,130704,39096,169800,.065654702,103076,30930,134006,.051814631,91086,25560,116646,.045102227,68722,19487,88209,.034106806,69596,17551,87147,.033696175,64622,14948,79570,.030766459,50183,11286,61469,.023767544,22418,5644,28062,.010850426,20582,5061,25643,.0099150976
