lgd_state_id,lgd_district_id,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_ag_main_share,pc11u_ag_main_share,pc11_ag_main_share,pc11r_pca_main_al_p,pc11r_pca_marg_al_p,pc11u_pca_main_al_p,pc11_pca_main_al_p,pc11r_pdensity,pc11u_pdensity,pc11_pdensity,pc11r_pca_tot_work_p,pc11r_pca_main_cl_p,pc11r_pca_main_hh_p,pc11r_pca_main_ot_p,pc11r_pca_margwork_p,pc11r_pca_marg_cl_p,pc11r_pca_marg_hh_p,pc11r_pca_marg_ot_p,pc11r_pca_margwork36_p,pc11r_pca_marg_cl36_p,pc11r_pca_marg_al36_p,pc11r_pca_marg_hh36_p,pc11r_pca_marg_ot36_p,pc11r_pca_margwork03_p,pc11r_pca_marg_cl03_p,pc11r_pca_marg_al03_p,pc11r_pca_marg_hh03_p,pc11r_pca_marg_ot03_p,pc11r_pca_non_work_p,pc11u_pca_main_cl_p,pc11_pca_main_cl_p,pc11_vd_area,pc11_td_area,pc11_area,pc11r_pca_mainwork_p,pc11u_pca_mainwork_p,pc11_pca_mainwork_p
20,330,1239567,64419,1303986,.68721151,.0083197523,.69553131,85392,217891,807,86199,597.10114,4439.6279,623.77197,530026,75265,10019,48242,311108,66578,7810,18829,236862,49462,166101,6066,15233,74246,17116,51790,1744,3596,709541,1138,76403,2075.975000442006,14.51,2090.4851,218918,14863,233781
20,331,960132,65081,1025213,.81866843,.0047538639,.82342225,32736,64120,425,33161,181.26868,2437.1895,192.58478,469668,195616,6482,29434,205400,124425,5019,11836,165593,99921,52969,3805,8898,39807,24504,11151,1214,2938,490464,901,196517,5296.734196096659,26.7033,5323.4375,264268,14663,278931
20,332,1459188,275307,1734495,.46999535,.0068374295,.47683278,42287,127700,1117,43404,359.40579,2922.5796,417.52786,578620,111550,6583,102856,315344,128306,7594,51744,256531,102203,104293,5680,44355,58813,26103,23407,1914,7389,880568,1121,112671,4060.001494960859,94.19999999999999,4154.2017,263276,64040,327316
20,333,710862,75746,786608,.56205463,.0049538356,.56700844,26380,107223,321,26701,411.10745,2363.3696,446.63458,301198,41922,5671,30178,197047,62280,5141,22403,158600,51081,84957,4148,18414,38447,11199,22266,993,3989,409664,281,42203,1729.139198215678,32.05,1761.1892,104151,17371,121522
20,334,574711,141246,715957,.42728853,.013732181,.4410207,23157,38787,1040,24197,462.72247,1823.2347,542.60095,218251,38079,2955,48334,105726,43337,3313,20289,78937,27534,32004,2461,16938,26789,15803,6783,852,3351,356460,928,39007,1242.020901247859,77.47,1319.4908,112525,30788,143313
20,335,675120,51858,726978,.67548651,.01134591,.68683243,32294,108351,904,33198,188.61752,1326.9703,200.91217,297714,46948,2782,24357,191333,55972,5818,21192,152059,44172,88338,4141,15408,39274,11800,20013,1677,5784,377406,427,47375,3579.306800935417,39.08,3618.387,106381,10930,117311
20,336,404379,57411,461790,.71107078,.009281463,.72035223,21015,58788,266,21281,274.06491,1630.9943,305.68228,204297,52226,1675,14514,114867,46660,2187,7232,86555,34112,45257,1606,5580,28312,12548,13531,581,1652,200082,690,52916,1475.486199826002,35.2,1510.6862,89430,13571,103001
20,337,832910,67512,900422,.4966768,.0046623838,.5013392,56901,92047,896,57797,475.17273,3631.6299,508.29736,380738,68270,11990,93310,150267,36651,5221,16348,123497,31976,74924,3564,13033,26770,4675,17123,1657,3315,452172,279,68549,1752.857298590243,18.59,1771.4473,230471,21546,252017
20,338,1713866,226003,1939869,.56434923,.01593926,.58028847,92375,279078,3359,95734,419.95404,2676.5239,465.69684,648731,67732,5462,74551,408611,63798,11808,53927,310411,48397,213697,7999,40318,98200,15401,65381,3809,13609,1065135,1163,68895,4081.079900598153,84.43900000000001,4165.519,240120,43582,283702
20,339,1656918,1257335,2914253,.39441743,.017895306,.41231275,95876,156006,7894,103770,354.88486,4439.6641,588.48907,751206,202373,12784,116192,323981,106139,11371,50465,263900,85974,127960,8140,41826,60081,20165,28046,3231,8639,905712,5638,208011,4668.888907447457,283.205,4952.0938,427225,328951,756176
20,340,990901,159666,1150567,.57913893,.018938407,.59807736,106130,94937,4038,110168,563.90417,5865.7603,644.77936,441266,80684,30016,65886,158550,26779,9549,27285,125861,21995,74111,7679,22076,32689,4784,20826,1870,5209,549635,2071,82755,1757.21519817505,27.22,1784.4352,282716,39856,322572
20,341,805412,258746,1064158,.38436955,.0064308541,.39080042,30867,109876,842,31709,307.28952,3736.4043,395.55807,350904,56815,4726,64838,193658,58977,3872,20933,156596,48886,88075,2848,16787,37062,10091,21801,1024,4146,454508,625,57440,2621.020002745092,69.25,2690.27,157246,70873,228119
20,342,556634,42944,599578,.79449552,.013124558,.80762011,28685,59459,904,29589,149.83559,1186.2983,159.8378,275254,94867,5013,16464,130225,61292,2654,6820,110729,51966,50834,2167,5762,19496,9326,8625,487,1058,281380,1137,96004,3714.965313360095,36.2,3751.1653,145029,10481,155510
20,343,1283536,218034,1501570,.60546529,.0060757808,.61154109,71052,192647,1105,72157,238.72099,1913.922,273.47812,626030,136424,12984,64615,340955,106344,9577,32387,277346,89937,157633,7961,21815,63609,16407,35014,1616,10572,657506,977,137401,5376.720399342477,113.92,5490.6401,285075,57597,342672
20,606,486903,44982,531885,.79742241,.010249074,.80767143,16050,32644,372,16422,189.04413,1311.4286,203.79477,245981,106025,4376,16135,103395,58236,4194,8321,86733,49760,26952,3363,6658,16662,8476,5692,831,1663,240922,1197,107222,2575.604908309877,34.3,2609.905,142586,10501,153087
20,607,530488,418955,949443,.33741724,.027565217,.36498246,19267,23177,2075,21342,464.84793,2379.4365,720.7597,196217,55340,3023,45811,72776,29796,2532,17271,56730,22584,17983,2023,14140,16046,7212,5194,509,3131,334271,4020,59360,1141.207597762346,176.0732,1317.2809,123441,97671,221112
21,344,1067275,206546,1273821,.42789257,.0064431406,.43433571,56558,113012,856,57414,276.41263,1167.7183,315.4548,455627,79318,16637,104943,198171,26574,14423,44162,158371,21421,91772,11513,33665,39800,5153,21240,2910,10497,611648,1190,80508,3861.165900889784,176.88,4038.0459,257456,60091,317547
21,345,1452512,197381,1649893,.59272105,.0067879823,.59950906,106608,217584,1356,107964,273.26331,2106.7456,305.0206,653843,131948,14299,93419,307569,33083,11094,45808,248586,27424,176094,8457,36611,58983,5659,41490,2637,9197,798669,1376,133324,5315.429998656735,93.69,5409.1201,346274,56202,402476
21,346,2067236,253293,2320529,.61614168,.019290883,.6354326,158964,189197,6672,165636,672.67847,2264.4966,728.5816,847171,221851,14310,149330,302716,61342,10561,41616,227225,40107,145007,8033,34078,75491,21235,44190,2528,7538,1220065,5251,227102,3073.141298545524,111.854,3184.9954,544455,73609,618064
21,347,1331145,150110,1481255,.67929131,.0077678701,.68705916,150632,207014,1806,152438,291.77573,133.61877,260.52567,706885,171617,30443,74084,280109,42526,12179,18390,233403,33741,174842,10160,14660,46706,8785,32172,2019,3730,624260,1879,173496,4562.219797238708,1123.42,5685.6396,426776,47614,474390
21,348,1320499,185838,1506337,.59724104,.030369068,.62761015,70423,72593,4897,75320,598.6106,1392.5665,643.90167,411154,125530,6719,79742,128740,24539,5345,26263,104613,19512,58976,4079,22046,24127,5027,13617,1266,4217,909345,5067,130597,2205.939999774098,133.45,2339.3899,282414,45683,328097
21,349,420738,20424,441162,.71020985,.0040412531,.7142511,35109,69299,135,35244,234.64137,986.66669,243.22383,212323,52761,6493,23293,94667,10475,4276,10617,80518,8804,60380,3232,8102,14149,1671,8919,1044,2515,208415,365,53126,1793.110900744796,20.7,1813.8108,117656,6068,123724
21,350,1884399,736047,2620446,.35258216,.0091366293,.36171877,129069,113766,3475,132544,548.59534,2793.6653,708.53064,682642,116093,24071,208475,204934,18313,12301,60554,163568,14769,90675,9904,48220,41366,3544,23091,2397,12334,1201757,2878,118971,3434.95279626362,263.47,3698.4229,477708,217625,695333
21,351,289234,22390,311624,.66786516,.0094277225,.67729288,23987,57310,431,24418,169.12175,929.04565,179.68166,156836,31552,4624,16492,80181,10443,3283,9145,64333,7976,46744,2587,7026,15848,2467,10566,696,2119,132398,353,31905,1710.211699459702,24.1,1734.3116,76655,6504,83159
21,352,1077701,117506,1195207,.44391218,.012477956,.45639014,64965,95614,2071,67036,329.29022,1474.9275,356.51544,399129,58376,9442,113508,152838,11393,6207,39624,125341,9721,79706,4754,31160,27497,1672,15908,1453,8464,678572,1396,59772,3272.799998605624,79.669,3352.469,246291,31559,277850
21,353,507151,70666,577817,.69927979,.014990814,.71427059,67167,83082,1657,68824,114.22166,2019.0286,129.11938,267265,51970,1682,28302,118144,12006,2272,20784,98515,10355,71380,1595,15185,19629,1651,11702,677,5599,239886,897,52867,4440.059998279437,35,4475.0601,149121,21250,170371
21,354,2761030,768001,3529031,.44693941,.018321522,.46526095,176281,369054,8734,185015,524.2793,183.11592,373.03174,1231922,226297,23935,250375,555034,49251,18544,118185,459362,41296,305994,15418,96654,95672,7955,63060,3126,21531,1529108,7769,234066,5266.334497489035,4194.070000000001,9460.4043,676888,223856,900744
21,355,1020991,115980,1136971,.50295347,.0074818209,.51043528,54867,53559,1184,56051,649.46472,2444.2571,702.05066,364377,91075,9134,100152,109149,19100,5871,30619,92728,15776,46062,4713,26177,16421,3324,7497,1158,4442,656614,987,92062,1572.050000740215,47.45,1619.5,255228,34942,290170
21,356,1691866,135097,1826963,.5091126,.0122982,.52141082,103552,78578,2665,106217,622.15302,1469.7236,649.86578,511498,103890,12544,152451,139061,14400,6288,39795,117325,12365,66060,5079,33821,21736,2035,12518,1209,5974,1180368,2346,106236,2719.372896147892,91.92000000000002,2811.2927,372437,35021,407458
21,357,348340,231165,579505,.30116987,.01128617,.31245604,20281,34779,767,21048,222.67964,1437.4146,335.91962,169104,31541,7105,44493,65684,7793,5635,17477,53836,6303,29005,4603,13925,11848,1490,5774,1032,3552,179236,1175,32716,1564.310001663864,160.82,1725.13,103420,68649,172069
21,358,1454882,121987,1576869,.67342079,.0081060203,.68152684,142016,291147,1857,143873,286.68436,2230.5176,307.40906,709276,111700,7782,79784,367994,31859,8966,36022,303702,26331,242389,6959,28023,64292,5528,48758,2007,7999,745606,1197,112897,5074.856391282752,54.69,5129.5464,341282,35475,376757
21,359,660831,72279,733110,.60609055,.0096222889,.61571282,41772,119489,1023,42795,158.37085,1396.9656,173.54094,329677,59513,3465,41085,183842,19041,7613,37699,145407,15518,98093,5005,26791,38435,3523,21396,2608,10908,331154,585,60098,4172.680599872023,51.74,4224.4209,145835,21277,167112
21,360,1354229,83534,1437763,.58855182,.010814658,.59936649,68417,72235,1537,69954,623.03296,6280.752,657.44122,438875,120916,8713,100571,140258,25698,6991,35334,114670,19870,59575,5612,29613,25588,5828,12660,1379,5721,915354,1942,122858,2173.607297213748,13.3,2186.9072,298617,23076,321693
21,361,1548674,253059,1801733,.54117656,.0090554282,.55023199,82764,223753,1874,84638,245.32672,35.14439,133.33083,682446,156705,9664,119819,313494,38812,8850,42079,253801,32853,182934,6879,31135,59693,5959,40819,1971,10944,866228,2133,158838,6312.70000103116,7200.552,13513.252,368952,73545,442497
