age,ln_hr_age_sex,ln_hr_full
18,-4.32231909899835,-3.92336863616001
19,-4.19984085704627,-3.80461094753922
20,-4.078103514756,-3.68702977047878
21,-3.957086233635,-3.5706026206823
22,-3.83676817519074,-3.45530701385336
23,-3.71712850093068,-3.34112046569557
24,-3.59814637236229,-3.22802049191253
25,-3.47980095099305,-3.11598460820782
26,-3.36207139833042,-3.00499033028504
27,-3.24493687588187,-2.89501517384779
28,-3.12837654515487,-2.78603665459967
29,-3.01236956765689,-2.67803228824427
30,-2.89689510489539,-2.57097959048519
31,-2.78193231837785,-2.46485607702602
32,-2.66746036961173,-2.35963926357037
33,-2.5534584201045,-2.25530666582182
34,-2.43990563136363,-2.15183579948398
35,-2.32678116489658,-2.04920418026044
36,-2.21406418221084,-1.94738932385479
37,-2.10173384481386,-1.84636874597063
38,-1.98976931421312,-1.74611996231156
39,-1.87814975191608,-1.64662048858118
40,-1.76685431943021,-1.54784784048308
41,-1.65586217826298,-1.44977953372086
42,-1.54515248992185,-1.3523930839981
43,-1.43470441591431,-1.25566600701842
44,-1.32449711774781,-1.15957581848541
45,-1.21450975692983,-1.06410003410265
46,-1.10472149496782,-0.96921616957376
47,-0.995111493369272,-0.874901740602319
48,-0.885658913641641,-0.781134262891929
49,-0.776342917292398,-0.687891252146187
50,-0.667142665829012,-0.595150224068687
51,-0.558037320758951,-0.502888694363028
52,-0.449006043589685,-0.411084178732804
53,-0.34002799582868,-0.319714192881613
54,-0.231082338983407,-0.228756252513048
55,-0.122148234561334,-0.13818787333071
56,-0.0132048440699277,-0.0479865710381917
57,0.0957686709833405,0.0418701386609097
58,0.204793149091003,0.131404740062997
59,0.313889428745592,0.220639717464477
60,0.423078348439639,0.309597555161749
61,0.532380746665674,0.39830073745122
62,0.641817461916231,0.486771748629294
63,0.751409332683838,0.575033072992371
64,0.86117719746103,0.663107194836859
65,0.971141894740336,0.751016598459159
66,1.08132426301429,0.838783768155677
67,1.19174514077542,0.926431188222816
68,1.30242536651626,1.01398134295698
69,1.41338577872934,1.10145671665457
70,1.52464721590719,1.18887979361199
71,1.63623051654234,1.27627305812565
72,1.74815651912733,1.36365899449195
73,1.86044606215469,1.45106008700729
74,1.97311998411694,1.53849881996808
75,2.08619912350663,1.62599767767072
76,2.19970431881627,1.71357914441161
77,2.31365640853841,1.80126570448716
78,2.42807623116557,1.88907984219377
79,2.54298462519028,1.97704404182785
80,2.65840242910508,2.0651807876858
81,2.7743504814025,2.15351256406403
82,2.89084962057507,2.24206185525893
83,3.00792068511532,2.33085114556691
84,3.12558451351578,2.41990291928437
85,3.24386194426898,2.50923966070772
86,3.36277381586746,2.59888385413337
87,3.48234096680375,2.68885798385771
88,3.60258423557037,2.77918453417715
89,3.72352446065987,2.8698859893881
90,3.84518248056476,2.96098483378695
91,3.84518248056476,2.96098483378695
92,3.84518248056476,2.96098483378695
93,3.84518248056476,2.96098483378695
94,3.84518248056476,2.96098483378695
95,3.84518248056476,2.96098483378695
96,3.84518248056476,2.96098483378695
97,3.84518248056476,2.96098483378695
98,3.84518248056476,2.96098483378695
99,3.84518248056476,2.96098483378695
100,3.84518248056476,2.96098483378695
