,bad_flg_covaxin,bad_flg_covishield,female_vac,first_dose_admin,lgd_district_id,lgd_state_id,male_vac,second_dose_admin,total_covaxin,total_covishield,total_individuals_registered,total_sessions_conducted,total_sites,trans_vac
9037,,,22618,45077,26,2,22446,6386,0,51463,45077,1050,8,13
9326,,,44205,107258,27,3,63045,15343,13207,109394,107258,24650,228,8
9615,,,12515,34724,28,3,22209,4225,2529,36420,34724,6500,60,0
9904,,,8680,21086,29,3,12394,3651,320,24417,21086,8500,85,12
10193,,,4073,10813,30,3,6740,1466,509,11770,10813,1700,17,0
10482,,,8268,24184,31,3,15913,3615,4958,22841,24184,10250,102,3
10771,,,56065,126367,32,3,70283,7920,2713,131574,126367,24850,234,19
11060,,,38875,92784,33,3,53900,6916,2293,97407,92784,8000,80,9
11349,,,52979,124663,34,3,71671,12965,9376,128252,124663,23830,232,13
11638,,,10325,27270,35,3,16943,2596,1714,28152,27270,7700,77,2
11927,,,82000,209017,36,3,127002,23869,11439,221447,209017,127150,310,15
12216,,,2753,9128,37,3,6375,1709,1354,9483,9128,6600,65,0
12505,,,6874,18670,38,3,11794,2799,1617,19852,18670,4000,22,2
12794,,,5962,18817,39,3,12853,1649,1330,19136,18817,5100,45,2
13083,,,10451,25121,40,3,14666,2529,1482,26168,25121,3700,33,4
13372,,,22466,60853,41,3,38385,6996,4708,63141,60853,12200,102,2
13661,,,6393,16775,42,3,10381,2560,1667,17668,16775,12450,65,1
13950,,,8951,25251,43,3,16294,2812,704,27359,25251,27700,141,6
14239,,,5043,14407,605,3,9364,1028,1346,14089,14407,2100,18,0
14528,,,23660,57004,608,3,33341,7172,2770,61406,57004,7100,67,3
14817,,,11133,29380,609,3,18246,4726,3320,30786,29380,7200,43,1
15106,,,5672,19624,651,3,13951,1838,2164,19298,19624,10200,101,1
15395,,,18599,43222,662,3,24620,3172,5314,41080,43222,9900,54,3
15684,1.0,,30678,77241,44,4,46562,13602,0,90843,77241,6550,44,1
15973,1.0,,24565,44621,45,5,20054,7546,0,52167,44621,3700,20,2
16262,,,11959,22681,46,5,10722,3797,0,26478,22681,600,6,0
16551,1.0,,17509,38104,47,5,20586,6263,0,44367,38104,7200,18,9
16840,1.0,,8508,19010,48,5,10499,4601,0,23611,19010,2100,11,3
17129,1.0,,80685,175359,49,5,94658,30861,0,206220,175359,13600,81,16
17418,,,56205,133178,50,5,76961,30170,407,162941,133178,7850,45,12
17707,1.0,,34513,72588,51,5,38063,13836,0,86424,72588,10650,43,12
17996,,,30675,60046,52,5,29364,8022,0,68068,60046,4200,21,7
18285,1.0,,11175,25478,53,5,14299,8366,0,33844,25478,2100,14,4
18574,,,10083,18775,54,5,8689,2756,0,21531,18775,2400,14,3
18863,1.0,,22216,41166,55,5,18948,7675,0,48841,41166,5000,13,2
19152,1.0,,33971,75986,56,5,42002,12285,0,88271,75986,14200,46,13
19441,1.0,,20524,41448,57,5,20918,6813,0,48261,41448,9700,34,6
19730,,,67656,138832,58,6,71148,9092,19609,128315,138832,4700,47,28
20019,,,31720,60993,59,6,29264,5029,8780,57242,60993,4100,36,9
20308,,,71392,152544,60,6,81136,18139,14283,156400,152544,8900,50,16
20597,,,24095,45208,61,6,21111,3555,6882,41881,45208,5300,53,2
20886,,,103196,232706,62,6,129489,29069,31176,230599,232706,5450,37,21
21175,1.0,,28813,60891,63,6,32076,9644,195,70340,60891,2000,20,2
21464,1.0,,28439,54694,64,6,26249,4367,13028,46033,54694,2600,21,6
21753,1.0,,26432,50444,65,6,24003,4159,0,54603,50444,3500,31,9
22042,1.0,,22312,43036,66,6,20721,4406,6842,40600,43036,3000,30,3
22331,1.0,,45766,93387,67,6,47617,9792,16473,86706,93387,5450,54,4
22620,,,28108,57582,68,6,29471,3930,8180,53332,57582,2400,24,3
22909,,,27127,53527,69,6,26396,4255,5896,51886,53527,4400,40,4
23198,1.0,,30689,67832,70,6,37139,7808,13869,61771,67832,2500,24,4
23487,,,25399,54311,71,6,28906,4619,12690,46240,54311,4800,44,6
23776,,,30722,64101,72,6,33376,5860,7259,62702,64101,4350,35,3
24065,1.0,,25642,54061,73,6,28419,8074,6326,55809,54061,4200,42,0
24354,,,47790,92725,74,6,44912,5497,11841,86381,92725,5300,52,23
24643,,,47909,97517,75,6,49599,8618,20757,85378,97517,6200,50,9
24932,,,35335,72653,76,6,37308,6931,10069,69515,72653,4200,42,10
25221,,,6216,13496,604,6,7279,2458,3212,12742,13496,24600,82,1
25510,,,22720,45013,619,6,22283,2715,10105,37623,45013,6100,61,10
25799,,,17747,33982,701,6,16230,3059,8634,28407,33982,2400,24,5
26088,,,49254,133105,77,7,83840,33451,43570,122986,133105,13000,83,11
26377,,,35542,83357,78,7,47803,15431,10447,88341,83357,5500,45,12
26666,,,37046,106482,79,7,69429,30639,57651,79470,106482,7100,68,7
26955,,,28614,74506,80,7,45879,14696,25967,63235,74506,7900,58,13
27244,,,26097,73429,81,7,47313,22358,26702,69085,73429,4900,42,19
27533,,,66881,156578,82,7,89679,30214,43914,142878,156578,13850,111,18
27822,,,52576,137961,83,7,85372,36889,46629,128221,137961,7650,57,13
28111,,,46847,121132,84,7,74268,24871,24136,121867,121132,10700,83,17
28400,,,84533,193141,85,7,108497,32786,58628,167299,193141,11400,93,111
28689,,,48658,118274,670,7,69604,24226,39216,103284,118274,5500,54,12
28978,,,36717,92783,671,7,56056,21943,27902,86824,92783,5400,41,10
29267,,,135323,268367,86,8,133021,40424,19518,289273,268367,23950,118,23
29556,,,174615,360938,87,8,186288,45952,14219,392671,360938,51790,193,35
29845,,,85835,167084,88,8,81216,25828,5539,187373,167084,2300,21,33
30134,1.0,,50003,105720,89,8,55704,20529,4627,121622,105720,12190,54,13
30423,1.0,,112626,247430,90,8,134786,30857,23830,254457,247430,78750,194,18
30712,,,102255,218932,91,8,116651,23641,6181,236392,218932,18000,89,26
31001,,,107834,212871,92,8,104977,30601,6756,236716,212871,25350,90,60
31290,,,92561,204817,93,8,112240,29413,9958,224272,204817,23650,144,16
31579,,,74802,149035,94,8,74200,17123,4413,161745,149035,4450,39,33
31868,,,91347,180388,95,8,89024,23903,7777,196514,180388,20199,95,17
32157,,,80406,161257,96,8,80834,23252,1452,183057,161257,19800,88,17
32446,,,48847,104384,97,8,55528,13338,4231,113491,104384,17500,67,9
32735,,,56081,113097,98,8,57006,13077,4460,121714,113097,8800,45,10
33024,,,57207,111779,99,8,54550,22414,396,133797,111779,34000,73,22
33313,,,71522,153000,100,8,81459,29051,14287,167764,153000,35450,287,19
33602,,,52468,111419,101,8,58946,10861,2028,120252,111419,19450,74,5
33891,,,193480,443676,102,8,250129,71264,57521,457419,443676,49700,325,67
34180,1.0,,20902,55133,103,8,34227,13154,16613,51674,55133,10700,34,4
34469,,,70789,146134,104,8,75298,16658,2226,160566,146134,15450,71,47
34758,,,65141,135916,105,8,70763,20559,2379,154096,135916,12600,64,12
35047,,,108855,208155,106,8,99278,21905,3264,226796,208155,26100,151,22
35336,,,133820,299828,107,8,165974,51902,46507,305223,299828,77600,251,34
35625,,,52440,108921,108,8,56470,12705,6517,115109,108921,8500,51,11
35914,,,77099,173919,109,8,96809,28650,24922,177647,173919,41150,191,11
36203,1.0,,223725,432788,110,8,209006,45369,10824,467333,432788,38000,145,57
36492,1.0,,87124,177299,111,8,90156,22405,4461,195243,177299,38750,129,19
36781,,,52775,103015,112,8,50228,17557,2531,118041,103015,9699,45,12
37070,,,49480,103948,113,8,54458,15594,2669,116873,103948,14800,27,10
37359,1.0,,109453,219085,114,8,109611,21611,18709,221987,219085,20900,102,21
37648,,,39543,79960,115,8,40406,9481,7217,82224,79960,15200,70,11
37937,,,45112,94453,116,8,49328,16057,11330,99180,94453,17700,54,13
38226,,,124711,254851,117,8,130114,48256,11863,291244,254851,15900,153,26
38515,,,25214,51185,629,8,25965,10094,1165,60114,51185,6000,31,6
38804,,,50305,128949,118,9,78633,23022,11523,140448,128949,12120,121,11
39093,,,38321,88366,119,9,50037,15858,18199,86025,88366,6580,42,8
39382,,,58616,151225,120,9,92590,35648,20018,166855,151225,12125,49,19
39671,,,25004,58484,121,9,33477,11327,5257,64554,58484,1800,9,3
39960,,,12684,32011,122,9,19325,8575,4665,35921,32011,480,4,2
40249,,,44215,97890,123,9,53665,18547,19732,96705,97890,8658,67,10
40538,,,22819,51179,124,9,28356,7290,6035,52434,51179,2270,22,4
40827,,,62858,140619,125,9,77751,14310,20871,134058,140619,10621,77,10
41116,,,27084,65827,126,9,38700,12800,6161,72466,65827,10800,55,43
41405,,,37163,84640,127,9,47468,12762,14250,83152,84640,1180,7,9
41694,,,17499,41170,128,9,23666,8470,3954,45686,41170,2170,17,5
41983,,,35168,80732,129,9,45561,19959,11902,88789,80732,2350,18,3
42272,,,53606,128145,130,9,74514,28555,8709,147991,128145,22610,103,25
42561,,,36341,89348,131,9,52995,15440,7036,97752,89348,3700,14,12
42850,,,39560,87802,132,9,48235,18234,9445,96591,87802,6100,30,7
43139,,,39411,87229,133,9,47810,14556,14778,87007,87229,3650,31,8
43428,,,39730,89585,134,9,49848,18645,8008,100222,89585,1550,13,7
43717,,,18941,44415,135,9,25470,9284,2846,50853,44415,2470,16,4
44006,,,8583,20785,136,9,12196,4435,3835,21385,20785,3500,35,6
44295,,,33898,79359,137,9,45453,15522,6421,88460,79359,200,2,8
44584,,,12320,31454,138,9,19133,8292,5687,34059,31454,100,1,1
44873,,,19341,48376,139,9,29028,11207,3788,55795,48376,3940,26,7
45162,,,22340,56721,140,9,34374,17450,8701,65470,56721,2760,15,7
45451,,,19664,47866,141,9,28191,7135,4576,50425,47866,21100,91,11
45740,,,34284,76296,142,9,42005,13851,13866,76281,76296,1780,15,7
46029,,,26932,60513,143,9,33572,8985,8571,60927,60513,7600,63,9
46318,,,59269,139376,144,9,80085,22002,9890,151488,139376,4550,28,22
46607,,,61039,142315,145,9,81259,23101,15625,149791,142315,3750,26,17
46896,,,35559,80049,146,9,44481,14758,10054,84753,80049,8245,15,9
47185,,,35485,83928,147,9,48434,16584,6910,93602,83928,3820,25,9
47474,,,56234,137850,148,9,81607,24632,18442,144040,137850,13270,80,9
47763,,,11362,26762,149,9,15400,7340,1252,32850,26762,360,3,0
48052,,,29807,66605,150,9,36791,16666,9260,74011,66605,3240,6,7
48341,,,16282,40823,151,9,24540,8597,5197,44223,40823,2500,13,1
48630,,,56427,127693,152,9,71249,18624,16259,130058,127693,1390,7,17
48919,,,21447,55836,153,9,34386,16261,11858,60239,55836,3600,23,3
49208,,,17810,40616,154,9,22803,8434,4248,44802,40616,4100,28,3
49497,,,12623,31721,155,9,19094,8208,2841,37088,31721,2540,14,4
49786,,,23001,54907,156,9,31896,9015,2919,61003,54907,900,5,10
50075,,,53684,135508,157,9,81814,22836,20482,137862,135508,6840,38,10
50364,,,12570,29361,158,9,16789,7828,4947,32242,29361,3080,20,2
50653,,,30395,73429,159,9,43028,16432,8534,81327,73429,4020,29,6
50942,,,30154,71489,160,9,41328,14033,6840,78682,71489,960,8,7
51231,,,13047,30894,161,9,17843,6332,4363,32863,30894,600,5,4
51520,,,101697,260663,162,9,158911,59743,39865,280541,260663,7600,61,55
51809,,,22312,50577,163,9,28263,7118,6093,51602,50577,3220,26,2
52098,,,33778,75558,164,9,41773,12294,9372,78480,75558,5600,28,7
52387,,,17232,37675,165,9,20438,4325,1806,40194,37675,0,0,5
52676,,,23520,52640,166,9,29115,9651,8139,54152,52640,920,9,5
52965,,,33057,81912,167,9,48841,13751,14885,80778,81912,2700,25,14
53254,,,21983,50385,168,9,28399,11920,8013,54292,50385,4400,30,3
53543,,,59200,138940,169,9,79722,25496,20439,143997,138940,3100,28,18
53832,,,35816,79767,170,9,43943,14760,14351,80176,79767,1950,9,8
54121,,,35033,81973,171,9,46928,23135,18264,86844,81973,5970,52,12
54410,,,36328,81113,172,9,44773,10942,8148,83907,81113,2600,16,12
54699,,,30952,68428,173,9,37472,10723,9113,70038,68428,1100,5,4
54988,,,34156,74152,174,9,39985,12697,4501,82348,74152,14800,76,11
55277,,,37226,81329,175,9,44096,12130,6204,87255,81329,5820,42,7
55566,,,25083,53826,176,9,28742,11660,7397,58089,53826,3920,27,1
55855,,,43222,98181,177,9,54948,17529,13540,102170,98181,2040,11,11
56144,,,18140,39745,178,9,21604,8981,6950,41776,39745,3290,18,1
56433,,,24298,52815,179,9,28511,5916,7648,51083,52815,4040,23,6
56722,,,38143,86811,180,9,48650,16511,10118,93204,86811,5540,30,18
57011,,,13327,31331,181,9,18004,5782,6307,30806,31331,120,1,0
57300,,,35369,78125,182,9,42747,13958,9916,82167,78125,4300,36,9
57589,,,47134,110969,183,9,63816,19111,11243,118837,110969,2500,25,19
57878,,,14410,37178,184,9,22767,9111,7105,39184,37178,5540,38,1
58167,,,38902,85332,185,9,46426,14312,6656,92988,85332,1400,11,4
58456,,,44409,97020,186,9,52600,15175,10998,101197,97020,2100,21,11
58745,,,50138,137729,187,9,87578,27339,20783,144285,137729,7340,51,13
59034,,,13565,30678,633,9,17109,7121,5287,32512,30678,2700,18,4
59323,,,33067,70053,640,9,36976,10236,13942,66347,70053,1560,10,10
59612,,,15270,34549,659,9,19276,7036,5550,36035,34549,4200,25,3
59901,,,13636,32768,660,9,19130,5573,3160,35181,32768,800,8,2
60190,,,13700,33120,661,9,19417,8095,4709,36506,33120,2840,17,3
60479,1.0,,28448,56343,188,10,27893,7186,0,63529,56343,10400,42,2
60768,1.0,,21384,44052,189,10,22662,10065,0,54117,44052,23600,69,6
61057,1.0,,43415,80192,190,10,36770,6282,0,86474,80192,9100,91,7
61346,1.0,,50040,94510,191,10,44468,12074,0,106584,94510,7200,39,2
61635,,,59926,117831,192,10,57896,16363,4877,129317,117831,7000,21,9
61924,1.0,,35047,72524,193,10,37477,9758,0,82282,72524,8100,19,0
62213,1.0,,27638,57877,194,10,30238,7176,0,65053,57877,4100,21,1
62502,1.0,,61624,121078,195,10,59445,16705,0,137783,121078,7800,46,9
62791,,,59289,118715,196,10,59417,24585,21689,121611,118715,11500,114,9
63080,1.0,,31654,66787,197,10,35132,8499,0,75286,66787,16600,42,1
63369,1.0,,27692,55790,198,10,28095,7267,0,63057,55790,7000,25,3
63658,1.0,,15551,30880,199,10,15326,5490,0,36370,30880,6400,19,3
63947,1.0,,23320,44794,200,10,21472,5869,0,50663,44794,3300,8,2
64236,1.0,,32154,60512,201,10,28355,12415,0,72927,60512,14600,64,3
64525,1.0,,22498,43047,202,10,20548,7106,0,50153,43047,4400,22,1
64814,1.0,,20024,40908,203,10,20884,8506,0,49414,40908,8600,54,0
65103,1.0,,11362,21865,204,10,10501,4203,0,26068,21865,4800,8,2
65392,1.0,,29076,58092,205,10,29006,9177,0,67269,58092,7700,31,10
65681,1.0,,61895,117579,206,10,55674,14743,0,132322,117579,8900,22,10
65970,1.0,,22274,46030,207,10,23751,8160,1,54189,46030,3800,17,5
66259,,,47359,97134,208,10,49773,17610,4902,109842,97134,13500,92,2
66548,1.0,,57790,110952,209,10,53154,16286,0,127238,110952,16100,83,8
66837,1.0,,37236,67800,210,10,30561,7383,0,75183,67800,27800,56,3
67126,1.0,,40901,84688,211,10,43690,15528,0,100216,84688,15000,60,97
67415,,,102795,247834,212,10,145028,49191,127366,169659,247834,25300,174,11
67704,1.0,,28012,60665,213,10,32651,11767,0,72432,60665,7300,59,2
67993,1.0,,45994,86574,214,10,40567,11251,0,97825,86574,5600,27,13
68282,1.0,,39449,81359,215,10,41908,12139,0,93498,81359,5500,34,2
68571,1.0,,27034,51554,216,10,24505,6412,0,57966,51554,4100,19,15
68860,1.0,,65779,123983,217,10,58197,18257,0,142240,123983,5400,27,7
69149,1.0,,59635,115985,218,10,56346,16843,0,132828,115985,11400,33,4
69438,1.0,,13380,24832,219,10,11451,3639,0,28471,24832,3800,32,1
69727,1.0,,13603,27382,220,10,13777,2493,0,29875,27382,3950,16,2
70016,1.0,,43214,83161,221,10,39946,10752,0,93913,83161,4800,25,1
70305,1.0,,71902,135492,222,10,63574,12365,0,147857,135492,11000,44,16
70594,1.0,,24760,49430,223,10,24664,8641,0,58071,49430,800,8,6
70883,,,46792,88957,224,10,42161,12741,5268,96430,88957,16000,102,4
71172,1.0,,10628,20942,611,10,10314,3782,0,24724,20942,4600,18,0
71461,1.0,1.0,14261,31048,225,11,16784,6909,0,37957,31048,500,2,3
71750,1.0,1.0,2233,5099,226,11,2865,1384,0,6483,5099,0,0,1
72039,,,7898,17153,227,11,9253,1825,0,18978,17153,0,0,2
72328,1.0,,5868,13230,228,11,7361,2544,0,15774,13230,300,1,1
72617,,1.0,1640,4508,229,12,2868,1322,0,5830,4508,300,2,0
72906,,,491,1193,230,12,702,333,0,1526,1193,200,1,0
73195,,,543,1385,231,12,842,568,0,1953,1385,200,2,0
73484,,,3757,7279,232,12,3522,1552,0,8831,7279,300,2,0
73773,,,1311,2410,233,12,1038,397,0,2807,2410,200,2,61
74062,1.0,1.0,568,2540,234,12,1971,673,0,3213,2540,0,0,1
74351,1.0,,1181,2699,235,12,1517,708,0,3407,2699,1500,7,1
74640,1.0,,1851,3541,236,12,1690,1148,0,4689,3541,500,5,0
74929,1.0,,3372,10957,237,12,7585,3584,0,14541,10957,1100,9,0
75218,1.0,,1589,4227,238,12,2637,1188,0,5415,4227,0,0,1
75507,1.0,1.0,886,3058,239,12,2172,1280,0,4338,3058,100,1,0
75796,,,1303,2601,240,12,1298,654,0,3255,2601,0,0,0
76085,,,835,1691,241,12,856,202,0,1893,1691,200,2,0
76374,1.0,,2895,8160,242,12,5265,2136,0,10296,8160,550,4,0
76663,1.0,,2494,5422,243,12,2928,1492,0,6914,5422,300,2,0
76952,,,721,1531,628,12,810,553,0,2084,1531,100,1,0
77241,1.0,,562,2074,666,12,1512,619,0,2693,2074,800,5,0
77530,,,358,768,677,12,410,288,0,1056,768,0,0,0
77819,1.0,,2385,5079,678,12,2694,1446,0,6525,5079,0,0,0
78108,,,1216,2349,679,12,1133,286,0,2635,2349,100,1,0
78397,,,262,460,718,12,198,246,0,706,460,0,0,0
78686,,,401,1011,719,12,610,493,0,1504,1011,100,1,0
78975,,,701,1422,723,12,721,325,0,1747,1422,1200,4,0
79264,1.0,1.0,874,2114,724,12,1240,988,0,3102,2114,300,2,0
79553,,,706,1304,725,12,598,344,0,1648,1304,0,0,0
79842,1.0,1.0,3729,15234,244,13,11505,6177,0,21411,15234,400,4,0
80131,1.0,,3087,10255,245,13,7168,4203,0,14458,10255,200,2,0
80420,1.0,1.0,2121,5191,246,13,3069,2182,0,7373,5191,300,3,1
80709,1.0,,1016,4033,247,13,3017,1958,0,5991,4033,100,1,0
80998,1.0,1.0,1834,5339,248,13,3505,1651,0,6990,5339,900,4,0
81287,1.0,1.0,922,4182,249,13,3260,1650,0,5832,4182,400,3,0
81576,1.0,,2053,4564,250,13,2508,1062,0,5626,4564,400,2,3
81865,1.0,1.0,1251,3846,251,13,2595,1230,0,5076,3846,300,3,0
82154,,1.0,728,2694,613,13,1966,987,0,3681,2694,300,3,0
82443,,1.0,510,2495,614,13,1985,791,0,3286,2495,400,2,0
82732,,,880,2194,615,13,1314,655,0,2849,2194,0,0,0
83021,,,1899,4960,252,14,3061,1678,0,6638,4960,100,1,0
83310,1.0,1.0,987,4734,253,14,3747,1834,0,6568,4734,400,4,0
83599,1.0,,2256,8665,254,14,6408,3496,0,12161,8665,600,6,1
83888,1.0,,5309,14632,255,14,9322,6407,0,21039,14632,1600,9,1
84177,1.0,,7182,18613,256,14,11431,8039,0,26652,18613,350,2,0
84466,,1.0,767,3029,257,14,2262,1375,0,4404,3029,100,1,0
84755,,1.0,649,2322,258,14,1673,586,0,2908,2322,100,1,0
85044,1.0,,2329,7355,259,14,5026,4367,0,11722,7355,0,0,0
85333,,,882,3238,260,14,2356,766,0,4004,3238,0,0,0
85622,,,725,3124,711,14,2399,1626,0,4750,3124,200,2,0
85911,1.0,,1488,2778,712,14,1290,895,0,3673,2778,0,0,0
86200,,,412,2244,713,14,1832,929,0,3173,2244,300,3,0
86489,,,572,2486,714,14,1914,659,0,3145,2486,300,3,0
86778,,1.0,566,969,715,14,403,347,0,1316,969,100,1,0
87067,,,648,3366,716,14,2718,1203,0,4569,3366,600,6,0
87356,,1.0,422,1021,717,14,599,240,0,1261,1021,0,0,0
87645,1.0,1.0,9131,21830,261,15,12699,7069,0,28899,21830,800,8,0
87934,,,2474,5217,262,15,2743,1213,0,6430,5217,0,0,0
88223,,1.0,1605,4010,263,15,2405,619,0,4629,4010,0,0,0
88512,,,1525,3635,264,15,2110,763,0,4398,3635,500,3,0
88801,1.0,1.0,3443,9121,265,15,5678,1790,0,10911,9121,1000,7,0
89090,,1.0,1817,4705,266,15,2888,839,0,5544,4705,0,0,0
89379,,1.0,1413,2968,267,15,1555,693,0,3661,2968,0,0,0
89668,1.0,,1540,5003,268,15,3461,1629,0,6632,5003,100,1,2
89957,1.0,,26102,57929,269,16,31819,9560,0,67489,57929,2600,7,8
90246,1.0,1.0,36809,76343,270,16,39524,7203,0,83546,76343,3600,18,10
90535,1.0,,44624,92119,271,16,47483,9930,0,102049,92119,1000,8,12
90824,1.0,,96616,200502,272,16,103866,26041,0,226543,200502,29000,144,20
91113,1.0,1.0,17149,35452,652,16,18301,6368,0,41820,35452,1900,10,2
91402,1.0,,39688,84214,653,16,44511,9284,0,93498,84214,0,0,15
91691,1.0,,29447,61390,654,16,31939,7345,0,68735,61390,1100,4,4
91980,,,18201,37399,655,16,19193,4092,0,41491,37399,400,2,5
92269,,1.0,2507,4895,273,17,2388,1660,0,6555,4895,100,1,0
92558,1.0,,9040,26892,274,17,17852,12189,0,39081,26892,600,6,0
92847,1.0,,3141,5712,275,17,2571,2492,0,8204,5712,0,0,0
93136,1.0,,2183,4477,276,17,2293,1887,0,6364,4477,1300,13,1
93425,,,1833,3955,277,17,2122,1750,0,5705,3955,700,7,0
93714,1.0,,9531,20417,278,17,10881,6275,0,26692,20417,900,8,5
94003,1.0,,3308,5421,279,17,2112,1774,0,7195,5421,100,1,1
94292,,,2509,4093,656,17,1584,1361,0,5454,4093,0,0,0
94581,,1.0,1536,3122,657,17,1585,1113,0,4235,3122,100,1,1
94870,,1.0,724,1550,658,17,826,790,0,2340,1550,500,5,0
95159,,,2513,4994,663,17,2481,1632,0,6626,4994,0,0,0
95448,,,23697,53476,280,18,29774,5985,54082,5379,53476,13400,81,5
95737,,,15927,34034,281,18,18105,5760,1934,37860,34034,9100,56,2
96026,,,18040,40930,282,18,22888,8191,10758,38363,40930,800,6,2
96315,,,13017,31496,283,18,18478,4565,1826,34235,31496,1900,9,1
96604,,,12100,25242,284,18,13140,4162,1860,27544,25242,6000,30,2
96893,,,19955,47582,285,18,27622,6438,1436,52584,47582,1400,7,5
97182,,,24198,54549,286,18,30346,12451,3470,63530,54549,2800,14,5
97471,,,14802,30377,287,18,15545,5208,1113,34472,30377,1800,15,30
97760,,,14488,34487,288,18,19998,5972,2922,37537,34487,3150,21,1
98049,,,8128,19609,289,18,11481,3389,2298,20700,19609,4200,34,0
98338,,,18973,44553,290,18,25576,6825,2130,49248,44553,4850,38,4
98627,1.0,,31018,67531,291,18,36504,8254,1733,74052,67531,9000,44,9
98916,1.0,,7921,20218,292,18,12294,3212,1845,21585,20218,5420,41,3
99205,,,13062,31548,293,18,18482,3745,967,34326,31548,9200,23,4
99494,,,7710,22084,294,18,14371,5987,3443,24628,22084,5180,45,3
99783,,,14838,32182,295,18,17343,6507,1288,37401,32182,3500,7,1
100072,,,16729,32183,296,18,15453,3641,451,35373,32183,10900,54,1
100361,,,30032,58836,297,18,28799,10754,2977,66613,58836,1400,14,5
100650,,,7782,19020,298,18,11236,4769,1381,22408,19020,1100,3,2
100939,,,2848,9400,299,18,6551,1895,2074,9221,9400,2800,22,1
101228,,,11506,26899,300,18,15390,5108,2196,29811,26899,600,2,3
101517,,,15277,38962,301,18,23680,8706,37404,10264,38962,5000,41,5
101806,,,16663,37916,302,18,21250,5811,630,43097,37916,450,3,3
102095,,,3718,13080,612,18,9361,3821,1082,15819,13080,3500,22,1
102384,,,9807,21234,616,18,11427,3355,907,23682,21234,2500,25,0
102673,1.0,,7599,17877,617,18,10276,3920,1045,20752,17877,2000,10,2
102962,,,37678,94080,618,18,56390,18357,8052,104385,94080,6050,55,12
103251,,,8506,19331,705,18,10823,2955,1536,20750,19331,2000,20,2
103540,,,4467,10111,706,18,5643,1560,479,11192,10111,800,8,1
103829,,,1844,4898,707,18,3054,535,872,4561,4898,400,4,0
104118,,,4841,11678,708,18,6835,2143,485,13336,11678,1350,12,2
104407,,,16137,33551,709,18,17411,2357,4938,30970,33551,9050,81,3
104696,,,3478,8657,710,18,5177,1338,1205,8790,8657,2900,29,2
104985,,,255600,576143,303,19,320485,57821,66100,567864,576143,59000,337,58
105274,,,249450,510284,304,19,260762,47570,22381,535473,510284,39850,212,72
105563,,,81231,192565,305,19,111319,32981,27939,197607,192565,10400,68,15
105852,,,130049,283425,306,19,153360,33735,24502,292658,283425,15300,82,16
106141,,,101131,218576,307,19,117420,22027,26878,213725,218576,17050,134,25
106430,,,62718,145355,308,19,82626,17251,21307,141299,145355,15900,86,11
106719,,,71248,147452,309,19,76185,22266,24733,144985,147452,13850,78,19
107008,1.0,,54384,113201,310,19,58801,14424,15794,111831,113201,7150,43,16
107297,1.0,,52042,117216,311,19,65163,15346,17893,114669,117216,600,6,11
107586,,,196597,415090,312,19,218467,39924,33257,421757,415090,12600,110,26
107875,,,133064,283147,313,19,150056,33413,12626,303934,283147,17900,115,27
108164,,,29476,74667,314,19,45186,15845,12614,77898,74667,7500,75,5
108453,,,221451,534126,315,19,312549,101957,35947,600136,534126,47150,148,126
108742,,,80790,174220,316,19,93382,19093,30368,162945,174220,34000,172,48
109031,,,169658,377387,317,19,207696,42582,27654,392315,377387,22000,97,33
109320,,,95218,233152,318,19,137920,40492,25037,248607,233152,11800,40,14
109609,,,164077,337058,319,19,172955,42232,37848,341442,337058,22600,116,26
109898,,,113453,253391,320,19,139919,30037,18872,264556,253391,27300,58,19
110187,,,49464,124831,321,19,75355,30145,24903,130073,124831,24800,86,12
110476,,,45092,97474,664,19,52370,17651,22505,92620,97474,16800,86,12
110765,,,16061,32317,702,19,16251,4145,5195,31267,32317,4400,14,5
111054,,,12225,40492,703,19,28266,16672,9680,47484,40492,5700,19,1
111343,,,56719,145921,704,19,89182,23059,11975,157005,145921,20300,127,20
111632,,,37475,82764,322,20,45285,17356,1378,98742,82764,6300,63,4
111921,1.0,,23553,47070,323,20,23517,6586,0,53656,47070,9400,61,0
112210,,,23794,50611,324,20,26813,9797,4592,55816,50611,7200,62,4
112499,,,54646,116935,325,20,62283,21112,17457,120590,116935,3600,35,6
112788,,,50103,92443,326,20,42338,9969,17569,84843,92443,16100,82,2
113077,,,57045,124732,327,20,67677,21720,17957,128495,124732,9100,91,10
113366,,,26689,55969,328,20,29275,11362,635,66696,55969,11800,84,5
113655,1.0,,53648,102365,329,20,48704,13430,7652,108143,102365,7000,70,13
113944,1.0,,27256,50903,330,20,23642,8335,1471,57767,50903,4000,40,5
114233,,,26966,47910,331,20,20938,7014,6280,48644,47910,15100,140,6
114522,,,45300,91751,332,20,46440,13041,18438,86354,91751,11800,96,11
114811,,,22207,42133,333,20,19923,5751,2072,45812,42133,9100,89,3
115100,1.0,,15553,29107,334,20,13552,4845,1451,32501,29107,4200,40,2
115389,1.0,,14989,32133,335,20,17141,7024,1557,37600,32133,5900,57,3
115678,,,16001,30316,336,20,14314,3998,10205,24109,30316,1300,13,1
115967,,,27499,48583,337,20,21080,5320,6051,47852,48583,4800,48,4
116256,,,48124,100351,338,20,52218,12725,29495,83581,100351,20800,191,9
