,bad_flg_covaxin,bad_flg_covishield,female_vac,first_dose_admin,lgd_district_id,lgd_state_id,male_vac,second_dose_admin,total_covaxin,total_covishield,total_individuals_registered,total_sessions_conducted,total_sites,trans_vac
142266,,,22721,50307,416,23,27580,7289,3890,53706,50307,400,2,6
142555,,,31030,68287,417,23,37247,11317,8989,70615,68287,7450,28,10
142844,,,22894,51800,418,23,28900,8735,2970,57565,51800,2300,7,6
143133,1.0,,17344,40436,419,23,23088,9148,5894,43690,40436,2840,11,4
143422,,,14121,30473,420,23,16350,5836,1749,34560,30473,2100,6,2
143711,,,18418,42547,421,23,24125,7026,8475,41098,42547,2700,13,4
144000,,,29354,60933,422,23,31572,9150,2895,67188,60933,4360,15,7
144289,,,26737,58004,423,23,31263,9408,6206,61206,58004,5100,16,4
144578,,,73054,162305,424,23,89233,16285,6370,172220,162305,6240,23,18
144867,,,65223,144888,425,23,79660,13763,6906,151745,144888,9725,49,5
145156,,,45160,99411,426,23,54245,12733,3734,108410,99411,4250,19,6
145445,,,39233,82866,427,23,43628,10428,4885,88409,82866,3800,17,5
145734,,,38310,74867,428,23,36548,9852,2733,81986,74867,4200,9,9
146023,,,21459,44894,429,23,23432,6775,2119,49550,44894,3350,12,3
146312,,,18607,41591,430,23,22980,6622,3092,45121,41591,2750,8,4
146601,1.0,,12898,25749,431,23,12848,4255,2474,27530,25749,1250,5,3
146890,,,25052,55993,432,23,30934,10991,5845,61139,55993,4550,13,7
147179,,,20396,41224,433,23,20826,6652,1053,46823,41224,600,2,2
147468,,,23085,50583,434,23,27493,6587,12766,44404,50583,2075,10,5
147757,,,58122,125818,435,23,67683,16777,6166,136429,125818,8050,32,13
148046,,,9925,20729,436,23,10799,3029,1058,22700,20729,1300,7,5
148335,,,38288,81300,437,23,43008,10295,3613,87982,81300,3400,10,4
148624,,,21929,49047,638,23,27110,6182,2492,52737,49047,1750,7,8
148913,1.0,,14659,26851,639,23,12191,6156,0,33007,26851,700,2,1
149202,1.0,,10267,21852,667,23,11584,3090,0,24942,21852,0,0,1
149491,,,356869,779197,438,24,422263,106316,25280,860233,779197,43050,337,65
149780,,,88920,177691,439,24,88754,18152,49048,146795,177691,23450,82,17
150069,,,122792,243585,440,24,120768,23711,10170,257126,243585,24100,236,25
150358,,,151365,323250,441,24,171830,39646,41275,321621,323250,28460,161,55
150647,,,68787,145844,442,24,77048,21650,10771,156723,145844,34000,269,9
150936,,,112949,247491,443,24,134517,28341,17279,258553,247491,123150,410,25
151225,,,11377,23074,444,24,11696,4514,544,27044,23074,10500,63,1
151514,1.0,,102752,202950,445,24,100172,33905,8914,227941,202950,11600,112,26
151803,1.0,,79321,173563,446,24,94223,28175,17411,184327,173563,4550,37,19
152092,,,78178,163879,447,24,85686,20869,7569,177179,163879,27700,137,15
152381,,,76498,157972,448,24,81460,20157,6841,171288,157972,35750,135,14
152670,,,88915,189178,449,24,100251,32829,15689,206318,189178,40800,371,12
152959,,,100324,210026,450,24,109687,26231,62560,173697,210026,26500,238,15
153248,,,118454,233977,451,24,115510,28121,34988,227110,233977,28475,241,13
153537,,,32551,66995,452,24,34434,9804,5870,70929,66995,18700,125,10
153826,1.0,,88895,168894,453,24,79992,19971,48563,140302,168894,20000,199,7
154115,,,82640,166060,454,24,83393,24679,30198,160541,166060,12200,90,27
154404,,,57947,118964,455,24,61010,15884,28120,106728,118964,19051,185,7
154693,,,47321,97570,456,24,50242,10989,23374,85185,97570,11780,101,7
154982,,,167899,355484,457,24,187563,38283,7432,386335,355484,31390,272,22
155271,,,81132,170464,458,24,89298,32367,10716,192115,170464,24900,190,34
155560,,,257449,612448,459,24,354949,60149,35640,636957,612448,44000,319,50
155849,,,56610,118096,460,24,61464,14409,28189,104316,118096,8200,82,22
156138,,,198182,409399,461,24,211182,54809,14108,450100,409399,23300,170,35
156427,,,82482,168617,462,24,86122,25834,46775,147676,168617,19478,140,13
156716,,,42748,85277,641,24,42525,9583,6520,88340,85277,10800,62,4
157005,,,47938,100406,668,24,52448,10909,30055,81260,100406,6150,56,20
157294,1.0,,70720,146398,669,24,75652,17652,9799,154251,146398,13185,126,26
157583,,,76910,154131,672,24,77201,16264,51667,118728,154131,47399,239,20
157872,,,39242,82086,673,24,42836,7742,13617,76211,82086,14050,78,8
158161,,,34777,73733,674,24,38945,9509,20560,62682,73733,3300,31,11
158450,,,33105,70978,675,24,37866,13437,13198,71217,70978,15500,74,7
158739,,,21093,44161,676,24,23063,6489,10871,39779,44161,5250,36,5
159028,,,5256,12436,463,25,7180,1482,0,13918,12436,1650,10,0
159317,,,3469,6037,464,25,2568,916,0,6953,6037,300,3,0
159606,,,7597,19022,465,26,11425,4324,0,23346,19022,4900,49,0
159895,,,91939,204341,466,27,112390,25654,36736,193259,204341,12700,94,12
160184,,,36636,83504,467,27,46865,9708,17272,75940,83504,9600,92,3
160473,,,63317,138644,468,27,75312,15581,22816,131409,138644,17301,115,15
160762,,,74687,178845,469,27,104042,18094,16107,180832,178845,16661,91,116
161051,,,43557,103964,470,27,60396,12964,17183,99745,103964,4200,31,11
161340,,,71009,133896,471,27,62880,11323,67419,77800,133896,3600,36,7
161629,,,55611,123652,472,27,68023,10215,27182,106685,123652,14000,137,18
161918,,,52640,109582,473,27,56934,15949,495,125036,109582,8880,87,8
162207,,,36084,80770,474,27,44671,7667,19757,68680,80770,3850,34,15
162496,,,14164,34124,475,27,19959,8451,4885,37690,34124,1600,16,1
162785,,,46581,94317,476,27,47723,10821,28221,76917,94317,10300,103,13
163074,,,16029,36860,477,27,20830,4708,7816,33752,36860,1950,15,1
163363,,,68886,158238,478,27,89343,17249,15534,159953,158238,13800,124,9
163652,,,27027,64395,479,27,37364,10286,10309,64372,64395,2700,27,4
163941,,,200924,393008,480,27,192022,27311,33186,387133,393008,27700,155,62
164230,,,46830,106293,481,27,59454,12148,17403,101038,106293,10700,91,9
164519,,,542993,1190473,482,27,647342,162336,91778,1261031,1190473,30300,219,138
164808,,,217694,464942,484,27,247147,37027,32874,469095,464942,40300,248,101
165097,,,57185,129880,485,27,72678,11077,31362,109595,129880,40800,407,17
165386,,,23490,51327,486,27,27833,11962,8244,55045,51327,1700,10,4
165675,,,130646,297000,487,27,166327,35762,39896,292866,297000,13550,113,27
165964,,,22895,53655,488,27,30757,7454,14230,46879,53655,1800,11,3
166253,,,28795,67212,489,27,38409,5787,15760,57239,67212,2500,16,8
166542,,,447082,952016,490,27,504852,86245,97048,941213,952016,48240,346,82
166831,,,45195,102836,491,27,57633,12670,14676,100830,102836,4200,42,8
167120,,,35233,70120,492,27,34882,12433,18216,64337,70120,7050,55,5
167409,,,90986,189655,493,27,98653,18731,23460,184926,189655,68200,218,16
167698,,,84082,177554,494,27,93464,31339,23812,185081,177554,24300,120,8
167987,,,24882,47910,495,27,23021,7492,12820,42582,47910,5700,51,7
168276,1.0,,68779,156827,496,27,88034,25882,1162,181547,156827,16600,166,14
